GeneID	log2FC_geo	padj_geo	Symbol_geo	log2FC	padj_py	Symbol_py
23118	0.6219712	2.38e-12	TAB2	-0.5750073924284793		TAB2
8835	-1.1356414	3.07e-12	SOCS2	1.2176426549249233		SOCS2
1112	0.564534	3.07e-12	FOXN3	-0.5891436590552797		FOXN3
115	0.5474631	3.07e-12	ADCY9	-0.6918603209501946		ADCY9
7077	-0.9043397	3.18e-12	TIMP2	0.985651997397496		TIMP2
9790	0.3270321	3.33e-12	BMS1	-0.0985120402197448		BMS1
4052	-0.8405061	3.4e-12	LTBP1	0.9473463478288524		LTBP1
127435	-1.3076289	3.45e-12	PODN	1.6191395828570876		PODN
8073	0.5127932	3.92e-12	PTP4A2	-0.6010107640040729		PTP4A2
55064	-1.3121143	3.92e-12	SPATA6L	1.1875997876061315		SPATA6L
51699	0.4112605	4.27e-12	VPS29	-0.39131205743249		VPS29
1032	0.5959745	4.8e-12	CDKN2D	-0.6114387984074812		CDKN2D
9283	-1.3218649	5.53e-12	GPR37L1	0.7300934770338321		GPR37L1
150572	0.7765604	5.53e-12	SMYD1	-0.6282889630896555		SMYD1
57758	-2.2795652	5.61e-12	SCUBE2	2.2433627000477205		SCUBE2
64094	-1.5790878	5.77e-12	SMOC2	1.403588425753819		SMOC2
192668	-1.3950019	6.2e-12	CYS1	1.3972663343078464		CYS1
7135	-4.0355434	6.55e-12	TNNI1	4.271437274644287		TNNI1
2935	0.3509012	6.84e-12	GSPT1	-0.5341190038530632		GSPT1
104326055	-2.1538547	7.98e-12	APOA1-AS	1.611087843442601		APOA1-AS
83690	-2.7935321	8.36e-12	CRISPLD1	2.791928488186705		CRISPLD1
30812	-1.5977933	8.36e-12	SOX8	1.8369703620093316		SOX8
26140	-0.7341719	8.38e-12	TTLL3	0.9619652500353144		TTLL3
7044	-2.6611512	8.51e-12	LEFTY2	2.7866171143078784		LEFTY2
1489	-0.8215982	9.2e-12	CTF1	1.1518300049760477		CTF1
7086	0.8723319	9.63e-12	TKT	-0.8187759180359633		TKT
387914	-3.5237272	9.63e-12	SHISA2	3.508750335988671		SHISA2
79144	-1.0614141	9.76e-12	PPDPF	1.4174379214977035		PPDPF
84792	0.6187084	1.04e-11	FAM220A	-0.5907612596154053		FAM220A
23518	0.5105772	1.11e-11	R3HDM1	-0.4219691325067654		R3HDM1
7324	0.3261469	1.33e-11	UBE2E1	-0.0554272800162909		UBE2E1
55856	0.5181437	1.33e-11	ACOT13	-0.4344696534212211		ACOT13
4192	-1.3870688	1.33e-11	MDK	1.6724522073587815		MDK
57414	-0.542646	1.42e-11	RHBDD2	0.6352114870155505		RHBDD2
7084	-0.3899851	1.56e-11	TK2	0.0901958239944829		TK2
7084	-0.3899851	1.56e-11	TK2	-0.6600264177230168		TK2
100302254	0.8694344	1.57e-11	MIR1282	-2.4756494144056016		MIR1282
79109	0.4234507	1.73e-11	MAPKAP1	-0.2648447710283443		MAPKAP1
352909	-1.7490447	1.75e-11	DNAAF3	0.9869289918454798		DNAAF3
22803	0.3220312	1.83e-11	XRN2	-0.101183235085462		XRN2
7483	-3.320506	1.87e-11	WNT9A	3.4253843673169757		WNT9A
197335	-0.7053395	2.07e-11	WDR90	0.908192339695316		WDR90
4056	-1.3716985	2.07e-11	LTC4S	2.0280493718120223		LTC4S
201134	0.6596734	2.07e-11	CEP112	-0.6058391415190858		CEP112
1622	0.8287616	2.13e-11	DBI	-0.5888144068488153		DBI
4831	0.6055621	2.19e-11	NME2	-0.3434370868252596		NME2
392	-0.7534981	2.63e-11	ARHGAP1	0.8007374232574582		ARHGAP1
112885	-2.0220351	2.76e-11	PHF21B	1.0467251789344665		PHF21B
728643	-0.7859137	2.89e-11	HNRNPA1P33	-0.0712094768388109		HNRNPA1P33
56261	-0.8328585	2.89e-11	GPCPD1	0.671125383136113		GPCPD1
51582	-0.9879895	2.9e-11	AZIN1	1.0707503489226475		AZIN1
400569	0.4556988	3.28e-11	MED11	-0.2016974114522778		MED11
147841	1.2055625	3.44e-11	SPC24	-1.147147399964289		SPC24
26019	0.5016704	3.51e-11	UPF2	-0.4810508923034575		UPF2
3163	0.9188681	3.6e-11	HMOX2	-0.8879165538469804		HMOX2
114881	-0.5887415	3.7e-11	OSBPL7	0.3190196190179613		OSBPL7
80352	0.6994113	3.76e-11	RNF39	-0.5678742517036266		RNF39
3898	2.2521739	3.95e-11	LAD1	-24.30609225207584		LAD1
654364	0.5989326	4.43e-11	NME1-NME2	-0.4217610464930594		NME1-NME2
651746	-1.4137544	4.75e-11	ANKRD33B	1.73431919747187		ANKRD33B
65982	-0.6092938	4.76e-11	ZSCAN18	0.6132051918360384		ZSCAN18
1981	0.4223765	5.19e-11	EIF4G1	-0.3296024513429101		EIF4G1
3717	-1.2393484	5.63e-11	JAK2	1.4203385032914737		JAK2
27101	0.6027796	5.72e-11	CACYBP	-0.7062106013321996		CACYBP
94122	-3.2932631	5.76e-11	SYTL5	3.56643610799869		SYTL5
6524	-0.6001678	6.5e-11	SLC5A2	2.979501629714614		SLC5A2
113675	-1.3506949	6.98e-11	SDSL	1.7418157923171746		SDSL
55362	0.4874875	7.6e-11	TMEM63B	-0.5899711852326668		TMEM63B
4194	-0.470179	7.68e-11	MDM4	0.1625518419331397		MDM4
729867	0.9647633	7.87e-11	LOC729867	0.0763667990382648		LOC729867
11222	0.3999023	8.2e-11	MRPL3	-0.501840048237737		MRPL3
51319	0.3522486	8.2e-11	RSRC1	-0.2342117545426725		RSRC1
84446	-1.291585	8.42e-11	BRSK1	1.4640168761293515		BRSK1
84286	-0.3798548	9.09e-11	TMEM175	0.4103830034095779		TMEM175
386724	-0.7872522	9.73e-11	AMIGO3	0.9598390616543128		AMIGO3
133396	-3.5911444	9.81e-11	IL31RA	3.4239724817670627		IL31RA
22891	-2.8256598	9.96e-11	ZNF365	2.969250808379595		ZNF365
80254	0.5061083	1.11e-10	CEP63	-0.3286849346590657		CEP63
55214	-2.2677407	1.11e-10	P3H2	1.9426358685999772		P3H2
84991	0.4073449	1.12e-10	RBM17	-0.2531705483245394		RBM17
6036	3.2601216	1.14e-10	RNASE2	-3.1320193039304227		RNASE2
4122	0.7709209	1.14e-10	MAN2A2	-0.6047963870718887		MAN2A2
5764	-1.3979169	1.33e-10	PTN	1.5087463865597712		PTN
27043	-0.4967598	1.33e-10	PELP1	0.5630840429541006		PELP1
669	0.4490543	1.48e-10	BPGM	-0.2392117054501898		BPGM
8439	0.3754896	1.59e-10	NSMAF	-0.6511173673943942		NSMAF
83940	0.6506919	1.67e-10	TATDN1	-0.7323012152709119		TATDN1
10949	-0.4235212	1.7e-10	HNRNPA0	0.445546416533694		HNRNPA0
123803	0.7566865	1.7e-10	NTAN1	-0.875933660085443		NTAN1
51343	-0.4246491	1.79e-10	FZR1	0.4103211178847488		FZR1
56965	0.4615891	1.81e-10	PARP6	-0.4385989243897281		PARP6
8463	0.6651877	1.83e-10	TEAD2	-0.771705497512646		TEAD2
1499	-0.2823923	1.83e-10	CTNNB1	0.4693996382519918		CTNNB1
4199	0.6088007	1.84e-10	ME1	-0.6492165618575099		ME1
11186	-0.8338731	1.87e-10	RASSF1	0.9043158290114546		RASSF1
8677	0.447558	1.87e-10	STX10	-0.211510819152501		STX10
5518	-0.4507797	1.9e-10	PPP2R1A	0.6318639006214379		PPP2R1A
80760	-1.1523578	1.96e-10	ITIH5	1.2873817372377112		ITIH5
81890	-0.4713566	1.96e-10	QTRT1	0.7614891920703233		QTRT1
246181	-0.9904212	2.04e-10	AKR7L	0.927798398427292		AKR7L
79971	-0.3625194	2.13e-10	WLS	0.247545026786133		WLS
4591	0.5274751	2.2e-10	TRIM37	-0.6130456187133859		TRIM37
7919	-0.3687298	2.38e-10	DDX39B	0.3729297696482572		DDX39B
23287	0.8215063	2.38e-10	AGTPBP1	-0.7587182159409265		AGTPBP1
23310	-0.4369083	2.39e-10	NCAPD3	0.4844430564323354		NCAPD3
5371	-0.4366944	2.46e-10	PML	0.5948775562595872		PML
100532737	-0.3679146	2.55e-10	ATP6V1G2-DDX39B	0.3079883489876864		ATP6V1G2-DDX39B
57595	-1.0716849	2.55e-10	PDZD4	0.9156479380432468		PDZD4
5713	0.4367061	2.78e-10	PSMD7	-0.3365405060622217		PSMD7
8745	0.6129955	2.78e-10	ADAM23	-0.3265598710847248		ADAM23
10715	-1.4696592	2.86e-10	CERS1	1.4795755913314386		CERS1
3716	0.6703943	2.88e-10	JAK1	-0.6806398603026338		JAK1
10644	0.5955051	2.98e-10	IGF2BP2	-0.5007362615386071		IGF2BP2
55240	1.1520938	3.04e-10	STEAP3	-1.040675059040182		STEAP3
55799	1.1820671	3.08e-10	CACNA2D3	-1.0036420121985907		CACNA2D3
79973	-0.8613102	3.5e-10	ZNF442	0.4986112869943599		ZNF442
23383	-0.4245873	3.58e-10	MAU2	0.5574322073434717		MAU2
284297	-1.7735581	3.66e-10	SSC5D	2.069146440517382		SSC5D
144481	-1.6357291	3.94e-10	SOCS2-AS1	1.712184355312022		SOCS2-AS1
387522	0.4124239	4e-10	PEDS1-UBE2V1	0.0842802595032701		PEDS1-UBE2V1
149345	0.8540484	4.04e-10	SHISA4	-0.6417977111700841		SHISA4
2252	1.3073733	4.22e-10	FGF7	-1.490878229803437		FGF7
284034	-1.9220208	4.22e-10	LINC00670	2.442350667917902		LINC00670
79828	0.4679881	4.45e-10	METTL8	-0.4658545165310754		METTL8
9372	0.4303338	4.46e-10	ZFYVE9	-0.2717155038465746		ZFYVE9
10768	0.2763891	4.49e-10	AHCYL1	-0.1587314067389851		AHCYL1
1781	0.2709459	4.92e-10	DYNC1I2	-0.4690998270598401		DYNC1I2
4675	-1.7608782	5.18e-10	NAP1L3	1.907174502689517		NAP1L3
123099	-0.7100179	5.34e-10	DEGS2	1.711365639406826		DEGS2
57099	0.6374567	5.34e-10	AVEN	-0.7085632669930186		AVEN
1307	-1.4551882	5.44e-10	COL16A1	1.6070979804274694		COL16A1
3116	-2.1068319	5.46e-10	HLA-DPB2	0.9231652697277736		HLA-DPB2
11066	0.4825208	5.46e-10	SNRNP35	-0.3069957522316642		SNRNP35
79006	-0.6645482	5.81e-10	METRN	0.9858605744703643		METRN
9843	-0.9728334	5.86e-10	HEPH	1.0369051767801722		HEPH
1730	0.3953137	5.87e-10	DIAPH2	-0.2452205930135997		DIAPH2
9592	-1.1263292	5.9e-10	IER2	1.3699710515599053		IER2
2331	-2.7151155	5.99e-10	FMOD	2.954061902036171		FMOD
644019	0.5098399	6.06e-10	ZNG1F	1.8103894445489648		ZNG1F
3837	0.3057591	6.33e-10	KPNB1	-0.0575562070636737		KPNB1
116151	0.4685431	6.49e-10	FAM210B	-0.2292419342739968		FAM210B
100128071	-1.3705332	6.62e-10	FAM229A	0.3992117959271719		FAM229A
58506	-0.4333501	6.72e-10	SCAF1	0.6556547720549193		SCAF1
4801	0.6217506	6.79e-10	NFYB	-0.7738013618471866		NFYB
4092	-0.9916044	6.79e-10	SMAD7	1.002024159098451		SMAD7
353116	0.5654176	6.86e-10	RILPL1	-0.5102730203661556		RILPL1
26038	-2.5721097	7.22e-10	CHD5	2.317168237572097		CHD5
55384	-0.8827753	7.24e-10	MEG3	1.149483876952785		MEG3
23154	-0.6252016	7.45e-10	NCDN	0.6591774059251438		NCDN
11164	0.4500873	7.52e-10	NUDT5	-0.6580084027026301		NUDT5
1978	1.0269465	7.77e-10	EIF4EBP1	-0.9566447351256048		EIF4EBP1
54850	-0.4973055	7.77e-10	FBXL12	0.5124709572107125		FBXL12
2948	0.4955824	7.79e-10	GSTM4	-0.3033318231796675		GSTM4
23127	-0.9943868	7.81e-10	COLGALT2	1.063432271180042		COLGALT2
55182	0.3707388	8.56e-10	RNF220	-0.4111568057418004		RNF220
23559	-0.551663	8.56e-10	WBP1	0.956301520409724		WBP1
65265	-0.3015562	8.56e-10	C8orf33	0.1230873615758314		C8orf33
56851	0.4444733	8.56e-10	EMC7	-0.497824597016562		EMC7
10778	0.4535588	8.56e-10	ZNF271P	-0.352085688807171		ZNF271P
26330	-0.7633956	8.56e-10	GAPDHS	0.493329183511535		GAPDHS
56935	0.4400123	8.89e-10	SMCO4	-0.5198773772198919		SMCO4
114294	0.6474032	8.89e-10	LACTB	-0.8741601655546871		LACTB
1314	-0.3758513	8.9e-10	COPA	0.4033676820726342		COPA
7335	0.4036602	9.11e-10	UBE2V1	-0.4791392299986983		UBE2V1
80011	0.2561256	9.49e-10	PSME3IP1	-0.3603488718692498		PSME3IP1
27067	0.512097	9.67e-10	STAU2	-0.5744064789567336		STAU2
26001	0.3966375	9.85e-10	RNF167	-0.1079682557312375		RNF167
445571	0.489099	1.03e-09	ZNG1C	0.0003597618463864		ZNG1C
3417	0.7208536	1.05e-09	IDH1	-0.6426938906371751		IDH1
9879	0.3873176	1.07e-09	DDX46	-0.2103043559965138		DDX46
51361	1.6391162	1.09e-09	HOOK1	-1.0126446615924498		HOOK1
727866	-0.4454678	1.09e-09	FAM156B	0.7427992717658001		FAM156B
51564	-0.4365896	1.1e-09	HDAC7	0.2474416282742		HDAC7
84946	0.4914177	1.13e-09	LTV1	-0.2609384464563442		LTV1
1490	-2.1476927	1.24e-09	CCN2	2.307757699129473		CCN2
4239	-1.4861088	1.28e-09	MFAP4	1.4774162491630536		MFAP4
11124	0.3496011	1.3e-09	FAF1	-0.3900792750576043		FAF1
118490	-1.4264552	1.32e-09	MSS51	1.470885125916802		MSS51
339929	-0.9844593	1.35e-09	LPP-AS2	1.0826721319767467		LPP-AS2
26007	-0.5114054	1.35e-09	TKFC	0.853502602510412		TKFC
966	0.4883537	1.37e-09	CD59	-0.4497677418453349		CD59
85013	-0.587536	1.42e-09	TMEM128	0.8552259674603158		TMEM128
169044	-3.7602746	1.43e-09	COL22A1	2.991489588540944		COL22A1
11059	0.6551456	1.49e-09	WWP1	-0.8767290889850301		WWP1
342527	1.3266675	1.66e-09	SMTNL2	-1.24544991277694		SMTNL2
84299	0.5774468	1.72e-09	MIEN1	-0.5714510159765753		MIEN1
3705	0.6017252	1.72e-09	ITPK1	-0.7695627681987824		ITPK1
5468	0.6802102	1.75e-09	PPARG	-0.5841764953760253		PPARG
28232	0.357624	1.82e-09	SLCO3A1	-0.1931722778361262		SLCO3A1
7975	-0.9997567	1.84e-09	MAFK	1.1837757577652963		MAFK
58526	0.9157121	1.85e-09	MID1IP1	-0.8412037515476145		MID1IP1
1903	1.2068576	1.9e-09	S1PR3	-1.0783066932818937		S1PR3
360200	-1.0635883	1.91e-09	TMPRSS9	2.522065248277638		TMPRSS9
64151	1.0159698	1.94e-09	NCAPG	-1.1515976067680758		NCAPG
23462	-0.6619889	1.97e-09	HEY1	0.6265670089028177		HEY1
100874097	0.5413197	1.97e-09	UBE2Q1-AS1	0.7682501050336548		UBE2Q1-AS1
1991	1.4493106	1.98e-09	ELANE	-1.0503910915029802		ELANE
23379	0.3796127	2.04e-09	ICE1	-0.179305694358844		ICE1
8452	0.3312044	2.07e-09	CUL3	-0.145595853271379		CUL3
84669	0.4745167	2.07e-09	USP32	-0.6196969506282839		USP32
146909	2.1617159	2.14e-09	KIF18B	-2.1049944000607157		KIF18B
80167	-1.0694683	2.23e-09	ABHD18	1.2414650797644593		ABHD18
94103	-0.5869813	2.29e-09	ORMDL3	0.4844257754720562		ORMDL3
8850	0.6149535	2.32e-09	KAT2B	-0.7658603051048916		KAT2B
79020	0.4998581	2.35e-09	C7orf25	-0.1421115612154634		C7orf25
79957	-0.9989729	2.35e-09	PAQR6	0.9488140045706688		PAQR6
83700	-0.5473262	2.45e-09	JAM3	0.8788541770393792		JAM3
23247	-0.5798926	2.5e-09	KATNIP	0.7360202570595393		KATNIP
9678	0.2617388	2.51e-09	PHF14	-0.0178080633401132		PHF14
128854	-1.1491923	2.55e-09	TSPY26P	0.7265204418489043		TSPY26P
10969	0.550118	2.56e-09	EBNA1BP2	-0.592230889042253		EBNA1BP2
64755	-0.5393531	2.56e-09	RUSF1	0.6009958558409885		RUSF1
106456574	-1.6911126	2.69e-09	LINC01616	1.7984385076054883		LINC01616
93664	1.1783743	2.89e-09	CADPS2	-1.0605080044861612		CADPS2
10553	0.9147539	2.89e-09	HTATIP2	-0.8808585253740908		HTATIP2
55660	0.3886048	2.91e-09	PRPF40A	-0.3189779528431753		PRPF40A
100996694	-0.9102888	2.93e-09	LINC02502	1.1970287542909857		LINC02502
50861	-0.7628218	2.97e-09	STMN3	0.8151819897167965		STMN3
23439	-3.1711011	2.97e-09	ATP1B4	3.304976161543356		ATP1B4
10589	0.5200064	3e-09	DRAP1	-0.2962873958956393		DRAP1
64788	-0.7325417	3.16e-09	LMF1	0.5905572661605984		LMF1
56110	-0.4283096	3.16e-09	PCDHGA5	0.8003518877512708		PCDHGA5
79724	0.4489196	3.3e-09	ZNF768	-0.4365559812081345		ZNF768
51315	0.3916601	3.32e-09	KRCC1	-0.3471835501807385		KRCC1
2971	0.6396931	3.42e-09	GTF3A	-0.6025679237177535		GTF3A
23303	-0.6400975	3.48e-09	KIF13B	0.7207158143585704		KIF13B
9149	-0.7026561	3.54e-09	DYRK1B	0.3892434140239489		DYRK1B
55165	2.3880354	3.57e-09	CEP55	-2.2409665972439647		CEP55
51520	0.3284934	3.62e-09	LARS1	-0.4387129587128076		LARS1
58529	-1.9030294	3.76e-09	MYOZ1	2.0298278395148506		MYOZ1
26528	0.4836152	3.79e-09	DAZAP1	-0.3714367062847232		DAZAP1
83468	-0.8202649	3.8e-09	GLT8D2	0.9448977804938744		GLT8D2
7874	0.3549123	3.81e-09	USP7	-0.3357652132089983		USP7
328	0.3585488	3.9e-09	APEX1	-0.180791823237393		APEX1
8883	0.293089	3.9e-09	NAE1	-0.1202807989016863		NAE1
4123	-0.5316078	3.93e-09	MAN2C1	0.4534695565811981		MAN2C1
6249	0.4935416	3.94e-09	CLIP1	-0.4833679561668322		CLIP1
653519	0.3516616	3.96e-09	GPR89A	-0.2567981994940465		GPR89A
90411	0.4298695	4.05e-09	MCFD2	-0.4443332530592547		MCFD2
8872	0.4184319	4.05e-09	CDC123	-0.2107500189136431		CDC123
8669	0.4085885	4.44e-09	EIF3J	-0.3263876989631846		EIF3J
1855	0.6445191	4.53e-09	DVL1	-0.6504859348867846		DVL1
3622	0.840492	4.57e-09	ING2	-0.6342553464239087		ING2
388135	0.9521237	4.6e-09	INSYN1	-1.0889500114277553		INSYN1
10248	0.4544229	4.61e-09	POP7	-0.3468106028183451		POP7
64321	-1.3741845	4.83e-09	SOX17	1.5164064061678144		SOX17
23101	-1.3064584	4.83e-09	MCF2L2	0.7158924663010855		MCF2L2
51162	-0.6423761	5.07e-09	EGFL7	0.8496949165301553		EGFL7
55216	0.4159018	5.15e-09	NKAPD1	-0.0586457831411797		NKAPD1
60386	0.6426004	5.17e-09	SLC25A19	-0.6739172478938396		SLC25A19
6399	-0.4465852	5.2e-09	TRAPPC2	0.4272742765339745		TRAPPC2
51550	0.5065128	5.25e-09	CINP	-0.6027064720156998		CINP
51550	0.5065128	5.25e-09	CINP	0.4750896287019992		CINP
79648	0.3181005	5.28e-09	MCPH1	0.0982586425871283		MCPH1
84293	0.6416581	5.52e-09	PRXL2A	-0.456595823143699		PRXL2A
50512	-1.1024875	5.54e-09	PODXL2	1.4185634831375558		PODXL2
51207	1.2265368	5.54e-09	DUSP13	-1.081550732378454		DUSP13
8834	0.523752	5.55e-09	TMEM11	-0.5309314041254334		TMEM11
10533	-0.2833669	5.59e-09	ATG7	0.3183164601052879		ATG7
7444	0.5217019	5.6e-09	VRK2	-0.3919471999257462		VRK2
8924	0.4041243	5.74e-09	HERC2	-0.2440194889154661		HERC2
26112	0.6499495	5.81e-09	CCDC69	-1.1353382726994503		CCDC69
51118	0.630203	5.91e-09	UTP11	-0.5357708513727486		UTP11
54468	0.3396014	5.98e-09	MIOS	-0.1776649993359838		MIOS
148709	-1.9012504	6.11e-09	ACTG1P25	0.6778875059362743		ACTG1P25
4060	-1.6783995	6.11e-09	LUM	1.8120006957174688		LUM
57459	-0.4084389	6.15e-09	GATAD2B	0.4268120628706873		GATAD2B
10490	0.338718	6.22e-09	VTI1B	-0.1391487963662729		VTI1B
