gene	log2FC	pvalue	padj
ENSG00000000003	0.28475270032517086	0.0036216925419860187	
ENSG00000000005	5.006501537300292	0.018950823800266605	
ENSG00000000419	0.16059846666153543	0.036434290085786664	
ENSG00000000457	-0.18799901938812047	0.012544850427000674	
ENSG00000000460	-0.02666957124124536	0.8284511624067225	
ENSG00000000938	0.0984676599274259	0.6366044940825105	
ENSG00000000971	0.9604426482289892	0.0004238838544131227	
ENSG00000001036	-0.28800303127968707	0.012785694562359864	
ENSG00000001084	-0.3561075830085345	4.233557977797316e-06	
ENSG00000001167	0.2377714962337425	0.022315666966403813	
ENSG00000001460	-0.16874069171424333	0.13003173274854643	
ENSG00000001461	-0.12337034238353306	0.2168662812886131	
ENSG00000001497	0.32730216929422973	5.4565403250684435e-05	
ENSG00000001561	-0.039105893232799005	0.6910312811705545	
ENSG00000001617	0.029343470300620567	0.8941279769257771	
ENSG00000001626	-3.3947513553792086	0.010949511616864029	
ENSG00000001629	-0.43968819124337166	0.0030884298698441197	
ENSG00000001630	-0.22213402891783884	0.21108556606406595	
ENSG00000001631	-0.33813704781251896	3.784532067442273e-05	
ENSG00000002016	-0.2389518917446427	0.1501313938312172	
ENSG00000002079	-0.2768588591378123	0.22636777983281173	
ENSG00000002330	-0.4005695891556371	0.010840237263703869	
ENSG00000002549	-0.08857874602871973	0.549323340133457	
ENSG00000002586	-0.852877730865826	2.1215895752055283e-05	
ENSG00000002587	0.7544615426605723	0.0058769569609897305	
ENSG00000002726	1.444221115093175	0.0005038646453749205	
ENSG00000002745	2.0785693381111674	0.00019704794311844448	
ENSG00000002746	1.882191133982002	0.035809730971421254	
ENSG00000002822	0.056769975939818806	0.565874985075705	
ENSG00000002834	0.3097671755032154	0.021639474082750697	
ENSG00000002919	0.4119016971771643	0.0008277769717639319	
ENSG00000002933	0.8828158060905831	4.502462122454908e-05	
ENSG00000003056	-0.15076026803455722	0.02255769321932654	
ENSG00000003096	0.46677397455050107	0.0019964584483970985	
ENSG00000003137	0.6023683691461109	0.04796467756054183	
ENSG00000003147	-0.026915041659240302	0.8136329816477615	
ENSG00000003249	-0.5459677691937488	0.0020208016257602392	
ENSG00000003393	-0.4946246234965388	0.0006472610910865106	
ENSG00000003400	0.06857571880577384	0.5750245634310358	
ENSG00000003402	-0.18621750439356521	0.0038371086380058336	
ENSG00000003436	-0.783188622369555	0.00047340536218721955	
ENSG00000003509	-0.0687047874053972	0.5097040955374148	
ENSG00000003756	0.12129063918219796	0.26780992102358137	
ENSG00000003987	0.265056369639848	0.4546824144158872	
ENSG00000003989	0.5174053795921969	0.001844997701627881	
ENSG00000004059	0.13320721169110428	0.08789274025234346	
ENSG00000004139	1.0562091200309145	4.529802301588541e-12	
ENSG00000004142	-0.033688617531721476	0.46452641459790267	
ENSG00000004399	0.15405963087482633	0.15303617896346694	
ENSG00000004455	-0.3845983363106269	0.00016638340010010082	
ENSG00000004468	-1.0422304429565736	0.0008723472550935608	
ENSG00000004478	-0.32608197706457354	0.12349134553196164	
ENSG00000004487	0.0777785923142762	0.2741072961560241	
ENSG00000004534	-0.31173406251096125	0.03607757282031906	
ENSG00000004660	0.07633017328038116	0.6159442882238778	
ENSG00000004700	-0.24638510177509243	0.0236412580108246	
ENSG00000004766	-0.4447445054583725	4.046780297158742e-05	
ENSG00000004776	0.34398689229654345	0.1261905993768005	
ENSG00000004777	0.9901326036901581	4.2199269938836824e-07	
ENSG00000004779	-0.26870865695018864	0.05240769913883141	
ENSG00000004799	0.3918853521600898	0.45984934375105657	
ENSG00000004809	-1.7134758166790844	0.01199970367776459	
ENSG00000004838	0.348706683474974	0.05548421558516002	
ENSG00000004846	0.03403203232141383	0.9680948794326003	
ENSG00000004848	1.9441735564829807	0.000576296927446683	
ENSG00000004864	-0.263881196953212	0.03243068511448285	
ENSG00000004866	-0.33077924066857456	0.002943337699566547	
ENSG00000004897	-0.539932507382253	1.4597452981041105e-07	
ENSG00000004939	1.0489141816755785	0.14455648046585665	
ENSG00000004948	1.2745018069370504	0.005673688978012827	
ENSG00000004961	-0.058735610784320436	0.44818518777172867	
ENSG00000004975	-0.0024557275899823594	0.9767899735455751	
ENSG00000005001	-2.4776107819281252	0.41453469489450445	
ENSG00000005007	0.4200135613171643	0.00020620484991062395	
ENSG00000005020	-0.4086199141614124	0.038278627786855784	
ENSG00000005022	0.6510262049736122	0.0002925249564964369	
ENSG00000005059	0.6360317120523853	0.0009325081908774923	
ENSG00000005073	2.3416611639369167	0.023346515864707155	
ENSG00000005075	0.19020029091521629	0.0464757758457401	
ENSG00000005100	0.03996643059099725	0.551065724928373	
ENSG00000005102	0.3622285921504793	0.1851287536395359	
ENSG00000005108	-0.19131397172447095	0.42330968727383034	
ENSG00000005156	-0.4280494358392417	0.013934634421325679	
ENSG00000005175	-0.525644034504082	0.00023816197206285038	
ENSG00000005187	0.13887521991173823	0.5783275805248362	
ENSG00000005189	0.022431552260628207	0.9018556871863778	
ENSG00000005194	-0.24340769244748994	0.028691547543938645	
ENSG00000005206	0.5185607642086643	5.260634649753292e-07	
ENSG00000005238	-0.14435879563506493	0.3326584487312062	
ENSG00000005243	0.7008376154634179	4.716317450626664e-09	
ENSG00000005249	0.1853322472318033	0.23714092047023075	
ENSG00000005302	0.06599111236095467	0.5235139352887827	
ENSG00000005339	-0.2318358775589937	0.03747001487377415	
ENSG00000005379	0.17726278150752606	0.2289355122558267	
ENSG00000005381	1.0167588579792015	0.021412036208899872	
ENSG00000005421	1.1382390901414392	0.03469252521935679	
ENSG00000005436	0.1850130035932791	0.06144178126232488	
ENSG00000005448	0.5408897671960626	0.0008194739954526566	
ENSG00000005469	0.07308629163530167	0.3818486649937186	
