GeneID	Symbol	Description	log2(fold change)(Control vs DCM)	-log10(Pvalue)(Control vs DCM)
114827	FHAD1	forkhead associated phosphopeptide binding domain 1	-1.528	3.698
101927417	FHAD1-AS1	FHAD1 antisense RNA 1	-3.449	14.845
79180	EFHD2	EF-hand domain family member D2	-0.201	1.634
84301	DDI2	DNA damage inducible 1 homolog 2	0.301	3.028
6248	RSC1A1	regulator of solute carriers 1	0.381	2.755
54751	FBLIM1	filamin binding LIM protein 1	0.693	6.225
440567	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like	0.465	4.752
348487	FAM131C	family with sequence similarity 131 member C	0.972	3.854
26099	SZRD1	SUZ RNA binding domain containing 1	0.238	3.934
84809	CROCCP2	CROCC pseudogene 2	-0.403	2.048
9696	CROCC	ciliary rootlet coiled-coil, rootletin	-0.285	2.094
6390	SDHB	succinate dehydrogenase complex iron sulfur subunit B	0.378	3.232
11240	PADI2	peptidyl arginine deiminase 2	-0.793	1.789
23569	PADI4	peptidyl arginine deiminase 4	-1.965	3.958
8659	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-0.515	3.722
126917	IFFO2	intermediate filament family orphan 2	-0.374	3.28
23065	EMC1	ER membrane protein complex subunit 1	-0.158	1.622
246181	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)	-0.99	9.69
22977	AKR7A3	aldo-keto reductase family 7 member A3	-0.921	6.845
8574	AKR7A2	aldo-keto reductase family 7 member A2	-0.289	2.295
832	CAPZB	capping actin protein of muscle Z-line subunit beta	0.15	2.098
100532736	MICOS10-NBL1	MICOS10-NBL1 readthrough	-0.461	3.097
644068	RPS14P3	ribosomal protein S14 pseudogene 3	-0.74	6.071
4681	NBL1	NBL1, DAN family BMP antagonist	-0.526	3.468
5320	PLA2G2A	phospholipase A2 group IIA	2.407	5.723
65018	PINK1	PTEN induced kinase 1	0.251	3.59
102464833	MIR6084	microRNA 6084	-0.909	2.633
100861548	PINK1-AS	PINK1 antisense RNA	0.216	3.255
50809	HP1BP3	heterochromatin protein 1 binding protein 3	0.159	1.473
8672	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	0.216	2.406
84196	USP48	ubiquitin specific peptidase 48	0.263	6.773
401944	LDLRAD2	low density lipoprotein receptor class A domain containing 2	-0.451	3.227
3339	HSPG2	heparan sulfate proteoglycan 2	-0.363	2.148
112268223	CDC42-AS1	CDC42 antisense RNA 1	-1.278	3.15
105376856	LOC105376856	uncharacterized LOC105376856	-0.885	1.303
9923	ZBTB40	zinc finger and BTB domain containing 40	0.211	1.686
713	C1QB	complement C1q B chain	0.654	1.888
2048	EPHB2	EPH receptor B2	0.675	1.594
23028	KDM1A	lysine demethylase 1A	0.28	7.341
100996511	LINC01355	long intergenic non-protein coding RNA 1355	-0.364	1.78
10236	HNRNPR	heterogeneous nuclear ribonucleoprotein R	0.18	2.078
148898	ZNF436-AS1	ZNF436 antisense RNA 1	-0.478	3.526
55616	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	0.315	2.224
3399	ID3	inhibitor of DNA binding 3	-0.64	6.64
6135	RPL11	ribosomal protein L11	0.385	3.08
6924	ELOA	elongin A	0.296	7.05
100506963	ELOA-AS1	ELOA antisense RNA 1	0.248	3.576
57095	PITHD1	PITH domain containing 1	0.236	3.819
2582	GALE	UDP-galactose-4-epimerase	0.298	1.945
107984931	LOC107984931	uncharacterized LOC107984931	0.413	2.513
163702	IFNLR1	interferon lambda receptor 1	0.403	1.397
57185	NIPAL3	NIPA like domain containing 3	0.352	3.796
10250	SRRM1	serine and arginine repetitive matrix 1	-0.267	2.513
25932	CLIC4	chloride intracellular channel 4	0.398	2.277
864	RUNX3	RUNX family transcription factor 3	-0.754	2.429
57035	RSRP1	arginine and serine rich protein 1	-0.246	1.418
55219	MACO1	macoilin 1	0.266	4.309
57190	SELENON	selenoprotein N	0.26	3.118
164091	PAQR7	progestin and adipoQ receptor family member 7	-0.345	1.87
5051	PAFAH2	platelet activating factor acetylhydrolase 2	-0.414	3.627
79927	FAM110D	family with sequence similarity 110 member D	-0.387	1.846
10256	CNKSR1	connector enhancer of kinase suppressor of Ras 1	-0.684	3.095
101928303	ZPLD2P	zona pellucida like domain containing 2, pseudogene	-0.597	2.562
64793	CEP85	centrosomal protein 85	0.363	1.536
83442	SH3BGRL3	SH3 domain binding glutamate rich protein like 3	0.318	1.377
3151	HMGN2	high mobility group nucleosomal binding domain 2	-1.075	21.295
10726	NUDC	nuclear distribution C, dynein complex regulator	0.257	2.57
115572	TENT5B	terminal nucleotidyltransferase 5B	0.725	1.76
84065	TMEM222	transmembrane protein 222	-0.351	6.011
84958	SYTL1	synaptotagmin like 1	-0.822	3.22
8547	FCN3	ficolin 3	1.639	6.73
10163	WASF2	WASP family member 2	-0.243	1.717
27245	AHDC1	AT-hook DNA binding motif containing 1	-0.231	1.673
2537	IFI6	interferon alpha inducible protein 6	-0.776	2.271
199870	FAM76A	family with sequence similarity 76 member A	-0.199	1.491
5511	PPP1R8	protein phosphatase 1 regulatory subunit 8	0.115	1.992
2140	EYA3	EYA transcriptional coactivator and phosphatase 3	0.196	1.529
22826	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	0.3	4.253
1104	RCC1	regulator of chromosome condensation 1	0.756	6.508
115273	RAB42	RAB42, member RAS oncogene family	0.598	1.762
6883	TAF12	TATA-box binding protein associated factor 12	0.288	3.94
2035	EPB41	erythrocyte membrane protein band 4.1	0.215	1.836
399474	TMEM200B	transmembrane protein 200B	-0.382	3.42
6429	SRSF4	serine and arginine rich splicing factor 4	0.165	2.477
10076	PTPRU	protein tyrosine phosphatase receptor type U	0.532	3.387
7805	LAPTM5	lysosomal protein transmembrane 5	0.546	1.969
9672	SDC3	syndecan 3	-0.335	2.284
51538	ZCCHC17	zinc finger CCHC-type containing 17	-0.329	2.02
