GeneID	Symbol	Description	log2(fold change)(Control vs DCM)	-log10(Pvalue)(Control vs DCM)
113612	CYP2U1	cytochrome P450 family 2 subfamily U member 1	-0.241	1.793
51176	LEF1	lymphoid enhancer binding factor 1	-1.298	3.056
64850	ETNPPL	ethanolamine-phosphate phospho-lyase	1.377	2.516
100533182	SEC24B-AS1	SEC24B antisense RNA 1	-0.796	2.811
839	CASP6	caspase 6	0.29	2.576
81579	PLA2G12A	phospholipase A2 group XIIA	0.281	2.345
3426	CFI	complement factor I	0.352	1.741
1950	EGF	epidermal growth factor	0.613	7.865
2028	ENPEP	glutamyl aminopeptidase	0.399	1.751
55435	AP1AR	adaptor related protein complex 1 associated regulatory protein	0.201	1.715
92610	TIFA	TRAF interacting protein with forkhead associated domain	0.755	2.727
80216	ALPK1	alpha kinase 1	0.244	1.61
55345	ZGRF1	zinc finger GRF-type containing 1	0.57	4.347
51574	LARP7	La ribonucleoprotein 7, transcriptional regulator	0.293	3.301
287	ANK2	ankyrin 2	0.227	1.886
79642	ARSJ	arylsulfatase family member J	-1.098	2.781
105377378	LOC105377378	uncharacterized LOC105377378	0.96	2.07
105377384	LOC105377384	uncharacterized LOC105377384	-1.355	3.68
645455	CEP170P1	centrosomal protein 170 pseudogene 1	0.341	1.666
729218	LOC729218	uncharacterized LOC729218	-0.395	2.949
105377394	LOC105377394	uncharacterized LOC105377394	-0.893	1.536
51778	MYOZ2	myozenin 2	0.253	1.877
105379404	LOC105379404	uncharacterized LOC105379404	0.215	1.312
401149	LINC01061	long intergenic non-protein coding RNA 1061	-0.473	4.717
645513	SEPTIN7P14	septin 7 pseudogene 14	-0.478	3.386
8654	PDE5A	phosphodiesterase 5A	-0.82	2.717
100996694	LINC02502	long intergenic non-protein coding RNA 2502	-0.91	8.533
105377399	LOC105377399	uncharacterized LOC105377399	-0.676	1.622
890	CCNA2	cyclin A2	0.508	4.732
84162	BLTP1	bridge-like lipid transfer protein family member 1	0.286	3.171
729338	CETN4P	centrin 4, pseudogene	-1.19	4.033
10252	SPRY1	sprouty RTK signaling antagonist 1	-0.656	4.175
27152	INTU	inturned planar cell polarity protein	-0.486	5.535
22824	HSPA4L	heat shock protein family A (Hsp70) member 4 like	-0.404	2.175
256471	MFSD8	major facilitator superfamily domain containing 8	-0.247	2.146
80167	ABHD18	abhydrolase domain containing 18	-1.069	8.652
55132	LARP1B	La ribonucleoprotein 1B	0.588	17.63
132430	PABPC4L	poly(A) binding protein cytoplasmic 4 like	-0.524	1.666
23657	SLC7A11	solute carrier family 7 member 11	1.179	3.773
1998	ELF2	E74 like ETS transcription factor 2	0.292	4.906
80155	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	0.364	4.412
83452	RAB33B	RAB33B, member RAS oncogene family	-0.294	1.668
60592	SCOC	short coiled-coil protein	-0.28	1.563
100129858	SCOC-AS1	SCOC antisense RNA 1	0.413	1.704
1047	CLGN	calmegin	0.532	4.549
8821	INPP4B	inositol polyphosphate-4-phosphatase type II B	-0.58	3.729
64399	HHIP	hedgehog interacting protein	-1.673	4.798
54726	OTUD4	OTU deubiquitinase 4	0.331	2.259
646603	C4orf51	chromosome 4 open reading frame 51	-0.605	7.751
152485	ZNF827	zinc finger protein 827	-0.467	4.937
11157	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	0.425	4.252
1909	EDNRA	endothelin receptor type A	-1.093	4.945
55751	TMEM184C	transmembrane protein 184C	0.304	4.039
987	LRBA	LPS responsive beige-like anchor protein	0.274	2.24
6189	RPS3A	ribosomal protein S3A	-0.238	1.424
152503	SH3D19	SH3 domain containing 19	0.359	3.118
105377485	LOC105377485	uncharacterized LOC105377485	0.715	1.949
729830	FHIP1A	FHF complex subunit HOOK interacting protein 1A	0.456	3.214
5188	GATB	glutamyl-tRNA amidotransferase subunit B	0.322	3.253
55294	FBXW7	F-box and WD repeat domain containing 7	0.289	1.428
102191832	FBXW7-AS1	FBXW7 antisense RNA 1	0.369	1.708
27236	ARFIP1	ADP ribosylation factor interacting protein 1	-0.165	1.316
285533	RNF175	ring finger protein 175	0.876	2.897
5356	PLRG1	pleiotropic regulator 1	0.139	1.69
105377503	LOC105377503	uncharacterized LOC105377503	3.496	6.48
105377505	LOC105377505	uncharacterized LOC105377505	-0.827	1.615
2982	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1	0.575	2.673
2983	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1	0.486	4.213
56034	PDGFC	platelet derived growth factor C	-0.428	5.027
2743	GLRB	glycine receptor beta	-0.516	5.36
51313	GASK1B	golgi associated kinase 1B	-0.461	2.429
201725	C4orf46	chromosome 4 open reading frame 46	-0.388	2.571
2110	ETFDH	electron transfer flavoprotein dehydrogenase	0.474	3.616
5481	PPID	peptidylprolyl isomerase D	0.212	1.373
55319	TMA16	translation machinery associated 16 homolog	0.187	1.614
201931	TMEM192	transmembrane protein 192	0.431	5.357
1363	CPE	carboxypeptidase E	-0.406	2.615
55601	DDX60	DExD/H-box helicase 60	-0.444	2.64
107986198	LOC107986198	uncharacterized LOC107986198	-1.847	5.44
23022	PALLD	palladin, cytoskeletal associated protein	0.734	8.122
84869	CBR4	carbonyl reductase 4	0.487	5.513
57630	SH3RF1	SH3 domain containing ring finger 1	-0.45	3.871
1182	CLCN3	chloride voltage-gated channel 3	0.457	3.775
54969	HPF1	histone PARylation factor 1	0.291	4.28
8819	SAP30	Sin3A associated protein 30	0.291	2.194
101928383	LOC101928383		-1.164	4.106
11341	SCRG1	stimulator of chondrogenesis 1	-0.637	1.381
101928409	LOC101928409	uncharacterized LOC101928409	0.516	2.691
9464	HAND2	heart and neural crest derivatives expressed 2	0.376	1.475
80817	CEP44	centrosomal protein 44	-0.234	2.277
175	AGA	aspartylglucosaminidase	0.256	1.371
285500	AGA-DT	AGA divergent transcript	0.413	1.451
1635	DCTD	dCMP deaminase	-0.205	3.255
80014	WWC2	WW and C2 domain containing 2	0.19	1.374
53842	CLDN22	claudin 22	-0.692	1.412
3622	ING2	inhibitor of growth family member 2	0.84	8.34
201965	RWDD4	RWD domain containing 4	0.163	1.679
133121	ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6	-0.919	2.027
728175	LINC02363	long intergenic non-protein coding RNA 2363	0.792	2.428
3660	IRF2	interferon regulatory factor 2	0.344	2.926
836	CASP3	caspase 3	-0.414	1.706
201973	PRIMPOL	primase and DNA directed polymerase	-0.151	1.588
291	SLC25A4	solute carrier family 25 member 4	0.29	2.559
83891	SNX25	sorting nexin 25	0.323	5.414
27295	PDLIM3	PDZ and LIM domain 3	-0.674	3.232
8470	SORBS2	sorbin and SH3 domain containing 2	-0.436	2.729
102723906	LOC102723906	uncharacterized LOC102723906	-0.943	1.411
2483	FRG1	FSHD region gene 1	0.404	5.45
389257	LRRC14B	leucine rich repeat containing 14B	0.712	1.874
10016	PDCD6	programmed cell death 6	-0.133	1.616
6550	SLC9A3	solute carrier family 9 member A3	-0.287	2.088
25845	PP7080	uncharacterized LOC25845	-0.204	1.614
100288152	SLC9A3-AS1	SLC9A3 antisense RNA 1	-0.675	1.357
11076	TPPP	tubulin polymerization promoting protein	0.631	2.293
101929898	LOC101929898	uncharacterized LOC101929898	-0.764	2.249
9319	TRIP13	thyroid hormone receptor interactor 13	0.703	2.667
100506688	LINC02982	long intergenic non-protein coding RNA 2982	-0.828	4.509
105374612	LOC105374612		-0.435	1.701
64979	MRPL36	mitochondrial ribosomal protein L36	0.619	7.509
4726	NDUFS6	NADH:ubiquinone oxidoreductase subunit S6	0.504	3.679
23379	ICE1	interactor of little elongation complex ELL subunit 1	0.38	8.689
105374634	LOC105374634	uncharacterized LOC105374634	-1.459	2.117
6715	SRD5A1	steroid 5 alpha-reductase 1	-0.245	1.323
108	ADCY2	adenylate cyclase 2	-0.876	1.932
4552	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	0.327	3.989
100505738	MIR4458HG	MIR4458 host gene	0.451	2.84
22948	CCT5	chaperonin containing TCP1 subunit 5	0.373	4.365
113218502	MIR10397	microRNA 10397	-0.573	2.104
651746	ANKRD33B	ankyrin repeat domain 33B	-1.414	10.324
1501	CTNND2	catenin delta 2	-0.864	3.837
106635684	SNORD141B	small nucleolar RNA, C/D box 141B	-0.794	6.373
90268	OTULIN	OTU deubiquitinase with linear linkage specificity	-0.335	2.544
56172	ANKH	ANKH inorganic pyrophosphate transport regulator	-0.271	3.627
100130744	LOC100130744	uncharacterized LOC100130744	-0.533	9.067
441061	MARCHF11	membrane associated ring-CH-type finger 11	1.25	2.796
107986407	MARCHF11-AS1	MARCHF11 antisense RNA 1	1.097	3.321
90441	ZNF622	zinc finger protein 622	0.318	1.371
101929524	RETREG1-AS1	RETREG1 antisense RNA 1	-0.999	2.06
106635539	SNORA105A	small nucleolar RNA, H/ACA box 105A	-0.39	2.788
105374694	LINC02228	long intergenic non-protein coding RNA 2228	-0.545	2.719
29102	DROSHA	drosha ribonuclease III	0.247	4.813
105374711	LOC105374711	uncharacterized LOC105374711	0.451	1.703
4883	NPR3	natriuretic peptide receptor 3	-0.674	2.103
6897	TARS1	threonyl-tRNA synthetase 1	0.405	4.486
81792	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	0.693	3.635
114899	C1QTNF3	C1q and TNF related 3	-0.809	2.847
5810	RAD1	RAD1 checkpoint DNA exonuclease	0.282	2.98
134218	DNAJC21	DnaJ heat shock protein family (Hsp40) member C21	0.356	5.255
79925	SPEF2	sperm flagellar 2	-0.52	3.245
6507	SLC1A3	solute carrier family 1 member 3	0.47	1.824
646719	NIPBL-DT	NIPBL divergent transcript	-0.44	2.334
25836	NIPBL	NIPBL cohesin loading factor	0.332	3.447
65250	CPLANE1	ciliogenesis and planar polarity effector complex subunit 1	0.205	2.723
100861519	GDNF-AS1	GDNF antisense RNA 1	-1.236	3.032
9180	OSMR	oncostatin M receptor	0.416	2.028
6167	RPL37	ribosomal protein L37	0.193	1.425
84674	CARD6	caspase recruitment domain family member 6	0.245	1.327
105374739	LOC105374739	uncharacterized LOC105374739	-0.995	2.442
729	C6	complement C6	-0.711	1.418
345557	PLCXD3	phosphatidylinositol specific phospholipase C X domain containing 3	0.565	2.804
100874002	OXCT1-AS1	OXCT1 antisense RNA 1	-0.403	2.722
26272	FBXO4	F-box protein 4	-0.403	2.538
7690	ZNF131	zinc finger protein 131	0.247	3.492
10605	PAIP1	poly(A) binding protein interacting protein 1	0.24	2.745
2255	FGF10	fibroblast growth factor 10	2.943	7.284
100506674	MRPS30-DT	MRPS30 divergent transcript	-0.497	2.021
10884	MRPS30	mitochondrial ribosomal protein S30	0.196	1.591
79668	PARP8	poly(ADP-ribose) polymerase family member 8	-0.311	1.628
3673	ITGA2	integrin subunit alpha 2	0.801	1.956
4338	MOCS2	molybdenum cofactor synthesis 2	0.455	11.984
4724	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4	0.227	1.402
54622	ARL15	ADP ribosylation factor like GTPase 15	-0.462	3.706
8988	HSPB3	heat shock protein family B (small) member 3	0.725	4.543
105378967	LOC105378967	replaced by ID 112574	-0.579	1.324
11082	ESM1	endothelial cell specific molecule 1	-2.74	5.793
3003	GZMK	granzyme K	-1.092	2.479
54505	DHX29	DExH-box helicase 29	0.321	7.943
105378973	LOC105378973	uncharacterized LOC105378973	0.93	8.218
23517	MTREX	Mtr4 exosome RNA helicase	0.094	1.761
133396	IL31RA	interleukin 31 receptor A	-3.591	10.009
65056	GPBP1	GC-rich promoter binding protein 1	0.198	2.115
101928505	LOC101928505	uncharacterized LOC101928505	0.604	1.597
5144	PDE4D	phosphodiesterase 4D	0.483	1.43
91942	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	0.666	5.996
285668	C5orf64	chromosome 5 putative open reading frame 64	1.135	1.677
3796	KIF2A	kinesin family member 2A	0.325	3.666
51194	IPO11	importin 11	0.287	3.739
100130733	LRRC70	leucine rich repeat containing 70	-0.746	3.565
285672	SREK1IP1	SREK1 interacting protein 1	-0.232	2.017
10283	CWC27	CWC27 spliceosome associated cyclophilin	0.331	6.134
64105	CENPK	centromere protein K	0.7	1.974
54557	SGTB	small glutamine rich tetratricopeptide repeat co-chaperone beta	-0.297	1.882
57486	NLN	neurolysin	0.627	6.799
4064	CD180	CD180 molecule	0.938	2.694
105379005	LOC105379005		-1.423	3.43
891	CCNB1	cyclin B1	0.295	1.472
92259	MRPS36	mitochondrial ribosomal protein S36	0.277	2.665
1022	CDK7	cyclin dependent kinase 7	0.264	2.935
202243	CCDC125	coiled-coil domain containing 125	-0.395	2.994
102157402	AK6	adenylate kinase 6	0.379	5.814
6880	TAF9	TATA-box binding protein associated factor 9	0.281	4.151
5884	RAD17	RAD17 checkpoint clamp loader component	0.313	7.528
153562	MARVELD2	MARVEL domain containing 2	0.895	2.42
55814	BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	0.319	2.086
23107	MRPS27	mitochondrial ribosomal protein S27	0.18	2.083
107986383	LOC107986383	uncharacterized LOC107986383	-0.997	13.549
689	BTF3	basic transcription factor 3	0.295	3.132
57763	ANKRA2	ankyrin repeat family A member 2	-0.169	1.5
8507	ENC1	ectodermal-neural cortex 1	-0.68	1.916
10412	NSA2	NSA2 ribosome biogenesis factor	0.278	1.517
51301	GCNT4	glucosaminyl (N-acetyl) transferase 4	-0.442	1.417
3156	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	-0.27	2.728
2151	F2RL2	coagulation factor II thrombin receptor like 2	-1.637	4.141
2149	F2R	coagulation factor II thrombin receptor	-1.233	6.886
55109	AGGF1	angiogenic factor with G-patch and FHA domains 1	0.208	4.644
8622	PDE8B	phosphodiesterase 8B	-1.182	3.705
8546	AP3B1	adaptor related protein complex 3 subunit beta 1	0.294	5.585
29958	DMGDH	dimethylglycine dehydrogenase	0.403	1.49
23743	BHMT2	betaine--homocysteine S-methyltransferase 2	0.632	2.403
635	BHMT	betaine--homocysteine S-methyltransferase	0.631	2.514
102724530	LOC102724530	uncharacterized LOC102724530	0.65	1.458
167153	TENT2	terminal nucleotidyltransferase 2	-0.252	2.212
345778	MTX3	metaxin 3	0.223	1.42
7060	THBS4	thrombospondin 4	-1.488	4.621
101929215	THBS4-AS1	THBS4 antisense RNA 1	-1.368	4.082
441089	CRSP8P	mediator complex subunit 27 pseudogene	-0.242	2.463
4437	MSH3	mutS homolog 3	-0.244	2.419
5924	RASGRF2	Ras protein specific guanine nucleotide releasing factor 2	0.307	1.814
1160	CKMT2	creatine kinase, mitochondrial 2	0.363	2.713
7518	XRCC4	X-ray repair cross complementing 4	1.221	7.752
1404	HAPLN1	hyaluronan and proteoglycan link protein 1	-2.851	7.823
5921	RASA1	RAS p21 protein activator 1	0.216	2.576
153396	TMEM161B	transmembrane protein 161B	0.256	2.405
100505894	TMEM161B-DT	TMEM161B divergent transcript	0.531	5.108
109729137	MEF2C-AS2	MEF2C antisense RNA 2	0.361	1.579
101929423	MEF2C-AS1	MEF2C antisense RNA 1	-0.551	2.114
100505994	LUCAT1	lung cancer associated transcript 1	1.638	6.449
57561	ARRDC3	arrestin domain containing 3	-0.772	3.995
100129716	ARRDC3-AS1	ARRDC3 antisense RNA 1	-0.692	3.07
105379080	LOC105379080	uncharacterized LOC105379080	1.355	5.339
9652	SKIC3	SKI3 subunit of superkiller complex	0.215	2.489
153642	ARSK	arylsulfatase family member K	0.36	1.659
317671	RFESD	Rieske Fe-S domain containing	0.535	5.699
83890	SPATA9	spermatogenesis associated 9	0.361	3.645
202299	LINC01554	long intergenic non-protein coding RNA 1554	0.504	1.375
5122	PCSK1	proprotein convertase subtilisin/kexin type 1	0.97	3.836
55781	RIOK2	RIO kinase 2	0.165	1.621
1105	CHD1	chromodomain helicase DNA binding protein 1	0.243	1.761
5066	PAM	peptidylglycine alpha-amidating monooxygenase	0.276	2.027
54826	GIN1	gypsy retrotransposon integrase 1	0.322	4.007
23262	PPIP5K2	diphosphoinositol pentakisphosphate kinase 2	0.682	5.79
1946	EFNA5	ephrin A5	-0.464	4.026
642987	TMEM232	transmembrane protein 232	-0.509	1.786
91137	SLC25A46	solute carrier family 25 member 46	0.328	2.569
85480	TSLP	thymic stromal lymphopoietin	0.766	7.432
114915	EPB41L4A-AS1	EPB41L4A antisense RNA 1	-0.42	2.861
324	APC	APC regulator of WNT signaling pathway	0.226	1.551
6728	SRP19	signal recognition particle 19	0.412	8.132
7905	REEP5	receptor accessory protein 5	0.186	2.964
167227	DCP2	decapping mRNA 2	-0.264	1.621
64848	YTHDC2	YTH domain containing 2	0.258	2.204
3781	KCNN2	potassium calcium-activated channel subfamily N member 2	0.417	1.505
5229	PGGT1B	protein geranylgeranyltransferase type I subunit beta	0.264	2.055
153733	CCDC112	coiled-coil domain containing 112	0.322	2.138
353376	TICAM2	TIR domain containing adaptor molecule 2	0.361	2.03
101927100	TICAM2-AS1	TICAM2 antisense RNA 1	-0.523	2.148
1176	AP3S1	adaptor related protein complex 3 subunit sigma 1	0.158	1.31
206338	LVRN	laeverin	1.094	2.203
51397	COMMD10	COMM domain containing 10	-0.234	1.921
100422885	MIR1244-2	microRNA 1244-2	0.297	2.09
1657	DMXL1	Dmx like 1	0.279	1.843
25816	TNFAIP8	TNF alpha induced protein 8	0.883	2.716
3295	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4	0.316	3.839
51334	PRR16	proline rich 16	-0.479	1.698
153443	SRFBP1	serum response factor binding protein 1	0.339	3.767
9627	SNCAIP	synuclein alpha interacting protein	-0.988	4.284
6643	SNX2	sorting nexin 2	0.183	2.764
28966	SNX24	sorting nexin 24	0.23	2.338
57507	ZNF608	zinc finger protein 608	0.448	1.372
51808	PHAX	phosphorylated adaptor for RNA export	0.153	2.385
4001	LMNB1	lamin B1	0.716	2.213
115123	MARCHF3	membrane associated ring-CH-type finger 3	-0.338	1.391
102723654	LOC102723654	uncharacterized LOC102723654	0.675	2.191
337876	CHSY3	chondroitin sulfate synthase 3	-0.867	2.694
105379171	LOC105379171	uncharacterized LOC105379171	-3.665	13.44
3094	HINT1	histidine triad nucleotide binding protein 1	0.353	4.347
8974	P4HA2	prolyl 4-hydroxylase subunit alpha 2	0.305	2.233
6583	SLC22A4	solute carrier family 22 member 4	-0.607	5.732
553103	MIR3936HG	MIR3936 host gene	-0.528	2.545
100500865	MIR3936	microRNA 3936	-0.911	3.123
441108	IRF1-AS1	IRF1 antisense RNA 1	-0.748	8.354
10111	RAD50	RAD50 double strand break repair protein	0.333	2.968
101927761	TH2LCRR	T helper type 2 locus control region associated RNA	0.227	1.505
11127	KIF3A	kinesin family member 3A	0.251	1.321
23176	SEPTIN8	septin 8	-0.172	1.352
134549	SHROOM1	shroom family member 1	-0.323	2.847
54819	ZCCHC10	zinc finger CCHC-type containing 10	-0.292	2.633
56951	C5orf15	chromosome 5 open reading frame 15	0.256	1.505
7416	VDAC1	voltage dependent anion channel 1	0.342	4.717
6932	TCF7	transcription factor 7	0.701	3.153
5515	PPP2CA	protein phosphatase 2 catalytic subunit alpha	-0.216	1.667
819	CAMLG	calcium modulating ligand	-0.154	1.376
9879	DDX46	DEAD-box helicase 46	0.387	8.969
79770	TXNDC15	thioredoxin domain containing 15	0.254	6.103
9555	MACROH2A1	macroH2A.1 histone	0.156	2.428
9547	CXCL14	C-X-C motif chemokine ligand 14	-1.391	3.072
153328	SLC25A48	solute carrier family 25 member 48	-1.698	1.784
10949	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0	-0.424	9.77
107986368	LOC107986368	uncharacterized LOC107986368	-0.523	1.828
9499	MYOT	myotilin	0.84	2.65
2676	GFRA3	GDNF family receptor alpha 3	-1.006	2.49
1958	EGR1	early growth response 1	-2.047	4.286
2107	ETF1	eukaryotic translation termination factor 1	0.179	1.889
3313	HSPA9	heat shock protein family A (Hsp70) member 9	0.318	4.933
1495	CTNNA1	catenin alpha 1	0.219	3.154
64374	SIL1	SIL1 nucleotide exchange factor	0.271	3.057
724102	SNHG4	small nucleolar RNA host gene 4	0.389	2.279
389333	PROB1	proline rich basic protein 1	0.321	1.347
202051	SPATA24	spermatogenesis associated 24	0.603	6.338
7322	UBE2D2	ubiquitin conjugating enzyme E2 D2	0.234	5.696
492311	IGIP	IgA inducing protein	-0.328	2.531
1839	HBEGF	heparin binding EGF like growth factor	-0.755	2.094
404734	ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3 readthrough	0.157	1.995
54882	ANKHD1	ankyrin repeat and KH domain containing 1	0.235	4.662
8637	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3	-0.858	6.123
10011	SRA1	steroid receptor RNA activator 1	-0.511	5.754
10307	APBB3	amyloid beta precursor protein binding family B member 3	-0.881	14.565
113829	SLC35A4	solute carrier family 35 member A4	-0.151	1.624
929	CD14	CD14 molecule	0.606	1.969
3550	IK	IK cytokine	0.25	2.315
153527	ZMAT2	zinc finger matrin-type 2	0.228	2.702
56145	PCDHA3	protocadherin alpha 3	-0.736	1.311
56129	PCDHB7	protocadherin beta 7	-0.348	1.613
56125	PCDHB11	protocadherin beta 11	-0.753	3.165
56113	PCDHGA2	protocadherin gamma subfamily A, 2	-0.462	4.286
56112	PCDHGA3	protocadherin gamma subfamily A, 3	-0.422	4.715
56104	PCDHGB1	protocadherin gamma subfamily B, 1	-0.381	5.228
56111	PCDHGA4	protocadherin gamma subfamily A, 4	-0.256	2.546
56103	PCDHGB2	protocadherin gamma subfamily B, 2	-0.325	3.176
56110	PCDHGA5	protocadherin gamma subfamily A, 5	-0.428	8.5
56109	PCDHGA6	protocadherin gamma subfamily A, 6	-0.273	2.658
56108	PCDHGA7	protocadherin gamma subfamily A, 7	-0.314	4.816
8641	PCDHGB4	protocadherin gamma subfamily B, 4	-0.216	2.087
9708	PCDHGA8	protocadherin gamma subfamily A, 8	-0.388	5.312
56101	PCDHGB5	protocadherin gamma subfamily B, 5	-0.301	3.756
56107	PCDHGA9	protocadherin gamma subfamily A, 9	-0.413	4.983
56100	PCDHGB6	protocadherin gamma subfamily B, 6	-0.339	5.936
56106	PCDHGA10	protocadherin gamma subfamily A, 10	-0.352	3.5
56099	PCDHGB7	protocadherin gamma subfamily B, 7	-0.339	3.455
56105	PCDHGA11	protocadherin gamma subfamily A, 11	-0.205	1.607
56120	PCDHGB8P	protocadherin gamma subfamily B, 8 pseudogene	0.723	2.912
26025	PCDHGA12	protocadherin gamma subfamily A, 12	-0.31	2.793
5098	PCDHGC3	protocadherin gamma subfamily C, 3	-0.296	1.652
1729	DIAPH1	diaphanous related formin 1	-0.397	1.6
89848	FCHSD1	FCH and double SH3 domains 1	-0.29	1.315
64411	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	-0.385	5.082
9812	DELE1	DAP3 binding cell death enhancer 1	-0.475	7.855
51294	PCDH12	protocadherin 12	-0.4	1.709
9604	RNF14	ring finger protein 14	0.165	1.378
80762	NDFIP1	Nedd4 family interacting protein 1	-0.209	3.854
81848	SPRY4	sprouty RTK signaling antagonist 4	-0.709	6.26
2246	FGF1	fibroblast growth factor 1	-0.489	3.515
153768	PRELID2	PRELI domain containing 2	1.498	8.084
643226	GRXCR2	glutaredoxin and cysteine rich domain containing 2	2.121	3.854
107986458	LOC107986458	uncharacterized LOC107986458	0.639	2.656
153769	SH3RF2	SH3 domain containing ring finger 2	0.636	3.119
51520	LARS1	leucyl-tRNA synthetase 1	0.328	8.441
10915	TCERG1	transcription elongation regulator 1	0.254	2.98
5521	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	-2.467	6.959
202374	STK32A	serine/threonine kinase 32A	-0.491	1.591
1809	DPYSL3	dihydropyrimidinase like 3	-0.929	4.572
389336	C5orf46	chromosome 5 open reading frame 46	-0.642	2.156
154	ADRB2	adrenoceptor beta 2	0.377	1.958
22885	ABLIM3	actin binding LIM protein family member 3	0.282	1.774
134265	AFAP1L1	actin filament associated protein 1 like 1	0.237	2.171
78991	PCYOX1L	prenylcysteine oxidase 1 like	-0.397	3.333
728264	CARMN	cardiac mesoderm enhancer-associated non-coding RNA	-0.681	4.052
389337	ARHGEF37	Rho guanine nucleotide exchange factor 37	0.488	4.687
133522	PPARGC1B	PPARG coactivator 1 beta	0.469	1.538
5145	PDE6A	phosphodiesterase 6A	-1.536	5.994
644762	MFFP2	MFF pseudogene 2	0.449	3.364
22993	HMGXB3	HMG-box containing 3	-0.156	2.153
1436	CSF1R	colony stimulating factor 1 receptor	-0.552	1.847
5159	PDGFRB	platelet derived growth factor receptor beta	0.353	2.353
6949	TCOF1	treacle ribosome biogenesis factor 1	0.278	3.911
972	CD74	CD74 molecule	-0.77	4.891
134466	ZNF300P1	zinc finger protein 300 pseudogene 1	-0.603	2.207
2878	GPX3	glutathione peroxidase 3	0.724	5.118
26112	CCDC69	coiled-coil domain containing 69	0.65	8.236
105378230	LOC105378230	uncharacterized LOC105378230	1.17	11.382
153201	SLC36A2	solute carrier family 36 member 2	1.488	3.059
206358	SLC36A1	solute carrier family 36 member 1	0.579	3.4
2890	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	-1.004	2.164
10827	FAM114A2	family with sequence similarity 114 member A2	0.238	4.998
107986465	LOC107986465	uncharacterized LOC107986465	-0.705	1.608
79685	SAP30L	SAP30 like	0.245	2.873
9421	HAND1	heart and neural crest derivatives expressed 1	0.432	3.621
23367	LARP1	La ribonucleoprotein 1, translational regulator	0.153	2.111
29093	MRPL22	mitochondrial ribosomal protein L22	0.489	4.67
153743	PPP1R2B	PPP1R2 family member B	0.227	2.132
84868	HAVCR2	hepatitis A virus cellular receptor 2	0.555	2.003
3702	ITK	IL2 inducible T cell kinase	-0.805	1.86
8728	ADAM19	ADAM metallopeptidase domain 19	-1.133	4.15
134353	LSM11	LSM11, U7 small nuclear RNA associated	-0.241	1.378
9685	CLINT1	clathrin interactor 1	0.195	2.658
107986467	LOC107986467	uncharacterized LOC107986467	0.522	2.453
7265	TTC1	tetratricopeptide repeat domain 1	0.503	5.119
2172	FABP6	fatty acid binding protein 6	1.008	2.834
114898	C1QTNF2	C1q and TNF related 2	-1.087	6.075
63920	FAM200C	family with sequence similarity 200 member C	-0.351	2.488
10569	SLU7	SLU7 homolog, splicing factor	0.142	1.448
9232	PTTG1	PTTG1 regulator of sister chromatid separation, securin	1.644	6.733
900	CCNG1	cyclin G1	0.36	2.582
3161	HMMR	hyaluronan mediated motility receptor	1.048	4.326
27430	MAT2B	methionine adenosyltransferase 2B	-0.203	1.678
57451	TENM2	teneurin transmembrane protein 2	0.29	1.357
23286	WWC1	WW and C2 domain containing 1	1.962	4.114
5917	RARS1	arginyl-tRNA synthetase 1	0.193	2.794
6586	SLIT3	slit guidance ligand 3	-0.503	1.73
54908	SPDL1	spindle apparatus coiled-coil protein 1	0.182	1.318
3779	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1	-0.576	1.761
107986473	LOC107986473	uncharacterized LOC107986473	0.75	1.946
64901	RANBP17	RAN binding protein 17	-0.847	5.13
105377720	LOC105377720	uncharacterized LOC105377720	-1.997	6.765
23291	FBXW11	F-box and WD repeat domain containing 11	-0.281	3.558
54492	NEURL1B	neuralized E3 ubiquitin protein ligase 1B	-0.397	1.897
101928093	LOC101928093	uncharacterized LOC101928093	0.66	2.826
1843	DUSP1	dual specificity phosphatase 1	-0.683	1.567
57222	ERGIC1	endoplasmic reticulum-golgi intermediate compartment 1	0.298	6.645
51121	RPL26L1	ribosomal protein L26 like 1	0.26	1.678
8992	ATP6V0E1	ATPase H+ transporting V0 subunit e1	0.23	3.002
8614	STC2	stanniocalcin 2	1.21	4.748
105377735	LOC105377735		-0.523	1.902
