GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
90293	1.14e-08	2.61e-10	0.1073	-6.32042	-0.6783224	451.45	KLHL13	kelch like family member 13
23241	1.15e-08	2.63e-10	0.0411	6.31904	0.2597508	1948.67	PACS2	phosphofurin acidic cluster sorting protein 2
5502	1.15e-08	2.65e-10	0.2079	6.31812	1.3134034	1632.6	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A
8894	1.15e-08	2.65e-10	0.0759	6.31789	0.479708	1818.15	EIF2S2	eukaryotic translation initiation factor 2 subunit beta
79631	1.15e-08	2.66e-10	0.0831	6.31738	0.5251201	562.95	EFL1	elongation factor like GTPase 1
9130	1.16e-08	2.69e-10	0.0763	6.31552	0.4817605	1141.65	FAM50A	family with sequence similarity 50 member A
6649	1.17e-08	2.72e-10	0.1586	-6.31416	-1.0012037	1421.49	SOD3	superoxide dismutase 3
84064	1.17e-08	2.73e-10	0.0547	6.31344	0.3452837	1112.27	HDHD2	haloacid dehalogenase like hydrolase domain containing 2
10565	1.18e-08	2.74e-10	0.0772	6.31288	0.4871546	1255.24	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1
3613	1.18e-08	2.76e-10	0.1421	6.3118	0.8969112	596.85	IMPA2	inositol monophosphatase 2
51053	1.18e-08	2.78e-10	0.0974	6.31078	0.6149826	136.46	GMNN	geminin DNA replication inhibitor
54617	1.18e-08	2.78e-10	0.0412	6.3107	0.2599113	792.39	INO80	INO80 complex ATPase subunit
1832	1.25e-08	2.94e-10	0.0994	6.30209	0.6266401	22379.95	DSP	desmoplakin
54958	1.25e-08	2.93e-10	0.1766	-6.30242	-1.1127656	125.41	TMEM160	transmembrane protein 160
4147	1.25e-08	2.95e-10	0.1667	-6.30112	-1.0503916	1385.55	MATN2	matrilin 2
339366	1.25e-08	2.95e-10	0.1416	-6.30133	-0.8925814	1012.44	ADAMTSL5	ADAMTS like 5
9120	1.26e-08	2.98e-10	0.2855	-6.29991	-1.7985045	35.48	SLC16A6	solute carrier family 16 member 6
10767	1.29e-08	3.06e-10	0.0525	6.29576	0.3303354	1879.28	HBS1L	HBS1 like translational GTPase
4832	1.29e-08	3.06e-10	0.1166	-6.29556	-0.7343051	325.09	NME3	NME/NM23 nucleoside diphosphate kinase 3
100526740	1.31e-08	3.13e-10	0.1572	6.29198	0.9889852	1334.38	ATP5MF-PTCD1	ATP5MF-PTCD1 readthrough
155060	1.32e-08	3.16e-10	0.1234	-6.29067	-0.7765656	192.32	LOC155060	AI894139 pseudogene
79762	1.32e-08	3.17e-10	0.1302	6.29003	0.8189124	699.11	C1orf115	chromosome 1 open reading frame 115
1950	1.36e-08	3.28e-10	0.0975	6.28495	0.6128025	366	EGF	epidermal growth factor
105377979	1.37e-08	3.30e-10	0.2358	-6.2839	-1.4818113	46.18	LOC105377979	uncharacterized LOC105377979
3040	1.39e-08	3.37e-10	0.3618	-6.2809	-2.2726343	1234.63	HBA2	hemoglobin subunit alpha 2
