GeneID	Symbol	Description	log10baseMean	log2FC
10644	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	2.782	0.596
344887	NMRAL2P	NmrA like redox sensor 2, pseudogene	0.899	1.964
1608	DGKG	diacylglycerol kinase gamma	3.256	-0.693
1427	CRYGS	crystallin gamma S	1.689	-0.425
51726	DNAJB11	DnaJ heat shock protein family (Hsp40) member B11	2.999	0.262
5984	RFC4	replication factor C subunit 4	2.261	0.221
6480	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1	3.395	0.298
5648	MASP1	MBL associated serine protease 1	3.732	-0.463
101929130	LOC101929130	uncharacterized LOC101929130	1.905	-0.738
604	BCL6	BCL6 transcription repressor	3.459	0.523
339929	LPP-AS2	LPP antisense RNA 2	2.223	-0.984
8626	TP63	tumor protein p63	1.539	-0.953
55214	P3H2	prolyl 3-hydroxylase 2	2.581	-2.268
3556	IL1RAP	interleukin 1 receptor accessory protein	2.389	-0.394
647309	GMNC	geminin coiled-coil domain containing	1.522	0.618
152137	CCDC50	coiled-coil domain containing 50	3.34	0.202
151963	MB21D2	Mab-21 domain containing 2	2.231	-0.624
57110	PLAAT1	phospholipase A and acyltransferase 1	2.152	-0.297
84789	MGC2889	uncharacterized protein MGC2889	0.943	-1.212
100873941	OPA1-AS1	OPA1 antisense RNA 1	1.776	0.415
285389	LINC02028	long intergenic non-protein coding RNA 2028	1.384	-1.706
3280	HES1	hes family bHLH transcription factor 1	2.62	-0.691
131578	LRRC15	leucine rich repeat containing 15	1.328	-1.225
79572	ATP13A3	ATPase 13A3	3.58	-0.513
100507297	TMEM44-AS1	TMEM44 antisense RNA 1	1.957	-0.593
55341	LSG1	large 60S subunit nuclear export GTPase 1	2.925	0.173
347	APOD	apolipoprotein D	3.96	0.653
105374298	LOC105374298	keratinocyte proline-rich protein-like	1.748	-0.293
7037	TFRC	transferrin receptor	3.489	1.37
5130	PCYT1A	phosphate cytidylyltransferase 1A, choline	3.675	0.228
255758	DYNLT2B	dynein light chain Tctex-type 2B	1.646	-0.4
165918	RNF168	ring finger protein 168	2.776	0.21
255798	SMCO1	single-pass membrane protein with coiled-coil domains 1	3.294	0.664
348793	WDR53	WD repeat domain 53	2.159	0.189
54965	PIGX	phosphatidylinositol glycan anchor biosynthesis class X	2.579	0.291
100874001	NCBP2-AS1	NCBP2 antisense RNA 1	1.242	0.837
100129516	LINC02012	long intergenic non-protein coding RNA 2012	1.607	1.121
220729	SDHAP4	SDHA pseudogene 4	3.012	0.262
84223	IQCG	IQ motif containing G	2.239	0.406
6165	RPL35A	ribosomal protein L35a	3.777	-0.224
89782	LMLN	leishmanolysin like peptidase	2.749	0.258
728262	FAM157A	family with sequence similarity 157 member A	2.098	-0.53
101928669	LOC101928669	uncharacterized LOC101928669	1.473	-0.356
255403	ZNF718	zinc finger protein 718	2.27	-0.57
654254	ZNF732	zinc finger protein 732	1.154	-0.435
170960	ZNF721	zinc finger protein 721	2.566	0.289
54872	PIGG	phosphatidylinositol glycan anchor biosynthesis class G	2.964	-0.175
5158	PDE6B	phosphodiesterase 6B	1.799	-0.556
521	ATP5ME	ATP synthase membrane subunit e	3.709	0.243
4636	MYL5	myosin light chain 5	2.388	-0.243
84179	SLC49A3	solute carrier family 49 member 3	2.373	-0.321
107986211	LOC107986211	replaced by ID 100129917	1.986	0.221
10815	CPLX1	complexin 1	2.074	0.449
84286	TMEM175	transmembrane protein 175	2.711	-0.38
1609	DGKQ	diacylglycerol kinase theta	2.445	-0.271
10861	SLC26A1	solute carrier family 26 member 1	1.613	-0.504
3425	IDUA	alpha-L-iduronidase	2.305	-0.737
53834	FGFRL1	fibroblast growth factor receptor like 1	2.932	0.43
10417	SPON2	spondin 2	2.65	-0.525
100130872	LOC100130872	uncharacterized LOC100130872	1.563	-0.737
285463	CTBP1-AS	CTBP1 antisense RNA	2.561	-0.182
10460	TACC3	transforming acidic coiled-coil containing protein 3	2.251	0.537
2261	FGFR3	fibroblast growth factor receptor 3	2.14	-0.555
7469	NELFA	negative elongation factor complex member A	2.511	-0.287
10608	MXD4	MAX dimerization protein 4	3.248	-0.275
100616358	MIR4800	microRNA 4800	1.415	-0.386
57732	ZFYVE28	zinc finger FYVE-type containing 28	2.212	0.438
107986249	LOC107986249	uncharacterized LOC107986249	1.712	0.486
79155	TNIP2	TNFAIP3 interacting protein 2	2.674	0.442
118	ADD1	adducin 1	3.888	0.163
10227	MFSD10	major facilitator superfamily domain containing 10	2.707	-0.539
317648	NOP14-AS1	NOP14 antisense RNA 1	2.258	-0.174
8602	NOP14	NOP14 nucleolar protein	2.886	0.369
2868	GRK4	G protein-coupled receptor kinase 4	2.129	-0.38
3064	HTT	huntingtin	3.135	0.174
285489	DOK7	docking protein 7	3.069	-0.594
152	ADRA2C	adrenoceptor alpha 2C	2.062	-0.376
85013	TMEM128	transmembrane protein 128	2.477	-0.588
166793	ZBTB49	zinc finger and BTB domain containing 49	2.17	-0.464
27065	NSG1	neuronal vesicle trafficking associated 1	2.035	1.26
53407	STX18	syntaxin 18	2.719	0.232
2121	EVC	EvC ciliary complex subunit 1	2.85	-0.469
1400	CRMP1	collapsin response mediator protein 1	2.003	-0.34
107986257	LOC107986257		2.201	-0.582
5522	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma	2.283	1.414
93622	LOC93622	Morf4 family associated protein 1 like 1	2.38	-0.281
6286	S100P	S100 calcium binding protein P	0.914	-1.903
55330	BLOC1S4	biogenesis of lysosomal organelles complex 1 subunit 4	2.131	-0.215
9778	KIAA0232	KIAA0232	3.74	0.323
57533	TBC1D14	TBC1 domain family member 14	3.143	0.146
80273	GRPEL1	GrpE like 1, mitochondrial	3.211	0.241
60312	AFAP1	actin filament associated protein 1	2.608	-0.362
54436	SH3TC1	SH3 domain and tetratricopeptide repeats 1	2.466	-0.601
105374374	LINC02517	long intergenic non-protein coding RNA 2517	2.356	0.45
8532	CPZ	carboxypeptidase Z	1.117	-0.9
56606	SLC2A9	solute carrier family 2 member 9	2.278	0.735
9948	WDR1	WD repeat domain 1	3.762	0.321
85460	ZNF518B	zinc finger protein 518B	2.894	0.256
259282	BOD1L1	biorientation of chromosomes in cell division 1 like 1	3.11	0.193
101929048	LOC101929048	uncharacterized LOC101929048	2.423	1.362
107986182	LOC107986182	uncharacterized LOC107986182	1.065	0.965
114905	C1QTNF7	C1q and TNF related 7	2.194	-0.705
26234	FBXL5	F-box and leucine rich repeat protein 5	3.547	0.232
285550	FAM200B	family with sequence similarity 200 member B	2.674	0.124
683	BST1	bone marrow stromal cell antigen 1	2.002	-0.347
952	CD38	CD38 molecule	2.412	0.907
8842	PROM1	prominin 1	2.415	-1.038
9079	LDB2	LIM domain binding 2	2.954	0.38
27146	FAM184B	family with sequence similarity 184 member B	2.217	-0.255
64151	NCAPG	non-SMC condensin I complex subunit G	1.499	1.016
254251	LCORL	ligand dependent nuclear receptor corepressor like	2.188	0.354
166647	ADGRA3	adhesion G protein-coupled receptor A3	3.016	0.445
107986265	LOC107986265		2.672	-0.535
6649	SOD3	superoxide dismutase 3	3.153	-1.001
91050	CCDC149	coiled-coil domain containing 149	2.639	0.213
389203	SMIM20	small integral membrane protein 20	2.858	0.242
55296	TBC1D19	TBC1 domain family member 19	2.505	0.163
55286	C4orf19	chromosome 4 open reading frame 19	1.324	0.946
768211	RELL1	RELT like 1	2.533	-0.549
55276	PGM2	phosphoglucomutase 2	2.49	0.373
23216	TBC1D1	TBC1 domain family member 1	3.582	0.327
105374407	LOC105374407		2.133	0.417
102723415	LOC102723415	replaced by ID 79667	1.463	-1.064
79667	KLF3-AS1	KLF3 antisense RNA 1	1.81	-1.06
57728	WDR19	WD repeat domain 19	2.7	0.368
5981	RFC1	replication factor C subunit 1	3.019	0.263
11019	LIAS	lipoic acid synthetase	2.776	0.247
201895	SMIM14	small integral membrane protein 14	2.785	-0.322
23244	PDS5A	PDS5 cohesin associated factor A	3.242	0.193
399	RHOH	ras homolog family member H	0.921	-0.985
79730	NSUN7	NOP2/Sun RNA methyltransferase family member 7	2.629	-0.305
7345	UCHL1	ubiquitin C-terminal hydrolase L1	2.615	-1.752
55161	TMEM33	transmembrane protein 33	2.836	-0.191
10463	SLC30A9	solute carrier family 30 member 9	3.511	0.196
285525	YIPF7	Yip1 domain family member 7	1.171	-0.574
2557	GABRA4	gamma-aminobutyric acid type A receptor subunit alpha4	2.948	-0.694
2560	GABRB1	gamma-aminobutyric acid type A receptor subunit beta1	2.468	-0.847
57205	ATP10D	ATPase phospholipid transporting 10D (putative)	2.84	-0.471
105374444	LOC105374444	uncharacterized LOC105374444	0.914	0.922
101927179	LOC101927179	uncharacterized LOC101927179	2.297	3.32
152518	NFXL1	nuclear transcription factor, X-box binding like 1	2.444	1.754
7294	TXK	TXK tyrosine kinase	1.764	-0.429
285527	FRYL	FRY like transcription coactivator	3.074	0.372
132299	OCIAD2	OCIA domain containing 2	2.208	0.702
64854	USP46	ubiquitin specific peptidase 46	3.391	-0.397
643783	USP46-DT	USP46 divergent transcript	2.148	-0.498
57291	DANCR	differentiation antagonizing non-protein coding RNA	3.132	0.386
677810	SNORA26	small nucleolar RNA, H/ACA box 26	0.985	-0.669
100288413	ERVMER34-1	endogenous retrovirus group MER34 member 1, envelope	2.252	0.772
107986281	LOC107986281	uncharacterized LOC107986281	0.958	0.596
65997	RASL11B	RAS like family 11 member B	2.621	-1.523
152579	SCFD2	sec1 family domain containing 2	2.507	0.273
26511	CHIC2	cysteine rich hydrophobic domain 2	2.357	-0.352
3815	KIT	KIT proto-oncogene, receptor tyrosine kinase	2.115	-0.905
3791	KDR	kinase insert domain receptor	3.175	0.59
9575	CLOCK	clock circadian regulator	3.121	0.247
57482	CRACD	capping protein inhibiting regulator of actin dynamics	1.665	-3.049
10606	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	3.011	0.162
6731	SRP72	signal recognition particle 72	3.119	0.149
84525	HOPX	HOP homeobox	2.547	1.862
255130	IGFBP7-AS1	IGFBP7 antisense RNA 1	2.85	-0.507
23284	ADGRL3	adhesion G protein-coupled receptor L3	2.619	-0.704
105377253	LOC105377253	uncharacterized LOC105377253	2.675	-2.375
253017	TECRL	trans-2,3-enoyl-CoA reductase like	4.545	0.351
550112	UBA6-DT	UBA6 divergent transcript	2.033	-0.339
22902	RUFY3	RUN and FYVE domain containing 3	3.017	0.157
2926	GRSF1	G-rich RNA sequence binding factor 1	3.595	0.221
3576	CXCL8	C-X-C motif chemokine ligand 8	1.254	-1.188
2921	CXCL3	C-X-C motif chemokine ligand 3	1.089	-0.67
2920	CXCL2	C-X-C motif chemokine ligand 2	2.375	-1.44
2069	EREG	epiregulin	1.304	2.507
25898	RCHY1	ring finger and CHY zinc finger domain containing 1	2.933	-0.258
8615	USO1	USO1 vesicle transport factor	3.652	0.378
27163	NAAA	N-acylethanolamine acid amidase	2.685	-0.498
55153	SDAD1	SDA1 domain containing 1	2.917	0.118
4283	CXCL9	C-X-C motif chemokine ligand 9	1.95	-1.326
419	ART3	ADP-ribosyltransferase 3 (inactive)	3.436	0.892
950	SCARB2	scavenger receptor class B member 2	3.678	0.229
57619	SHROOM3	shroom family member 3	2.872	-0.578
105377294	LOC105377294	uncharacterized LOC105377294	1.109	-1.244
55752	SEPTIN11	septin 11	3.154	-0.393
10983	CCNI	cyclin I	3.984	-0.448
901	CCNG2	cyclin G2	2.752	-0.715
65008	MRPL1	mitochondrial ribosomal protein L1	2.915	0.285
306	ANXA3	annexin A3	3.029	0.45
55589	BMP2K	BMP2 inducible kinase	2.771	0.381
56978	PRDM8	PR/SET domain 8	1.903	-0.746
3184	HNRNPD	heterogeneous nuclear ribonucleoprotein D	3.52	0.178
101928963	HNRNPD-DT	HNRNPD divergent transcript	1.109	-0.624
9987	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	3.702	0.298
58478	ENOPH1	enolase-phosphatase 1	2.711	-0.152
441027	TMEM150C	transmembrane protein 150C	2.783	0.414
22872	SEC31A	SEC31 homolog A, COPII coat complex component	3.65	-0.273
27235	COQ2	coenzyme Q2, polyprenyltransferase	2.768	0.348
10855	HPSE	heparanase	1.469	0.967
113510	HELQ	helicase, POLQ like	2.639	0.18
51023	MRPS18C	mitochondrial ribosomal protein S18C	2.619	0.224
84142	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	2.609	0.214
404201	WDFY3-AS2	WDFY3 antisense RNA 2	2.251	-0.406
83478	ARHGAP24	Rho GTPase activating protein 24	2.93	-0.389
5602	MAPK10	mitogen-activated protein kinase 10	2.145	-0.394
5783	PTPN13	protein tyrosine phosphatase non-receptor type 13	2.662	-0.362
132989	C4orf36	chromosome 4 open reading frame 36	1.422	-0.405
100506746	AFF1-AS1	AFF1 antisense RNA 1	2.564	-0.236
53343	NUDT9	nudix hydrolase 9	2.969	0.335
105377321	SCPPPQ1	secretory calcium-binding phosphoprotein proline-glutamine rich 1	1.327	0.657
8404	SPARCL1	SPARC like 1	4.496	0.504
6696	SPP1	secreted phosphoprotein 1	2.614	2.337
5311	PKD2	polycystin 2, transient receptor potential cation channel	3.132	-0.37
9429	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	2.341	-2.44
55008	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	2.849	-0.452
102723458	LOC102723458	uncharacterized LOC102723458	1.831	-0.319
51191	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	2.203	-0.625
8916	HERC3	HECT and RLD domain containing E3 ubiquitin protein ligase 3	3.275	0.226
266812	NAP1L5	nucleosome assembly protein 1 like 5	2.246	-0.464
6622	SNCA	synuclein alpha	2.413	-1.198
10098	TSPAN5	tetraspanin 5	2.203	-0.576
105377342	TSPAN5-DT	TSPAN5 divergent transcript	1.009	-0.844
1977	EIF4E	eukaryotic translation initiation factor 4E	2.916	0.157
23173	METAP1	methionyl aminopeptidase 1	3.315	0.347
128	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	3.633	-0.196
124	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	2.127	1.252
125	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	3.426	1.479
126	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	2.27	0.909
93587	TRMT10A	tRNA methyltransferase 10A	2.046	0.404
4547	MTTP	microsomal triglyceride transfer protein	2.091	0.597
285556	C4orf54	chromosome 4 open reading frame 54	2.468	1.619
3015	H2AZ1	H2A.Z variant histone 1	2.92	0.428
64116	SLC39A8	solute carrier family 39 member 8	2.123	0.969
102723704	LOC102723704	uncharacterized LOC102723704	2.417	0.467
105377348	UBE2D3-AS1	UBE2D3 antisense RNA 1	1.834	0.469
493856	CISD2	CDGSH iron sulfur domain 2	2.441	0.279
56898	BDH2	3-hydroxybutyrate dehydrogenase 2	2.918	-0.276
1062	CENPE	centromere protein E	1.347	0.734
54848	ARHGEF38	Rho guanine nucleotide exchange factor 38	1.027	-0.622
57117	INTS12	integrator complex subunit 12	2.811	0.295
255743	NPNT	nephronectin	2.288	-0.618
107986298	LOC107986298	uncharacterized LOC107986298	2.423	0.468
113612	CYP2U1	cytochrome P450 family 2 subfamily U member 1	2.702	-0.241
51176	LEF1	lymphoid enhancer binding factor 1	1.284	-1.298
64850	ETNPPL	ethanolamine-phosphate phospho-lyase	2.304	1.377
100533182	SEC24B-AS1	SEC24B antisense RNA 1	1.007	-0.796
839	CASP6	caspase 6	2.044	0.29
81579	PLA2G12A	phospholipase A2 group XIIA	3.149	0.281
3426	CFI	complement factor I	2.613	0.352
1950	EGF	epidermal growth factor	2.563	0.613
2028	ENPEP	glutamyl aminopeptidase	2.55	0.399
55435	AP1AR	adaptor related protein complex 1 associated regulatory protein	2.523	0.201
92610	TIFA	TRAF interacting protein with forkhead associated domain	2.449	0.755
80216	ALPK1	alpha kinase 1	2.263	0.244
55345	ZGRF1	zinc finger GRF-type containing 1	1.903	0.57
51574	LARP7	La ribonucleoprotein 7, transcriptional regulator	3.305	0.293
287	ANK2	ankyrin 2	3.899	0.227
79642	ARSJ	arylsulfatase family member J	1.963	-1.098
105377378	LOC105377378	uncharacterized LOC105377378	2.425	0.96
105377384	LOC105377384	uncharacterized LOC105377384	1.732	-1.355
645455	CEP170P1	centrosomal protein 170 pseudogene 1	1.965	0.341
729218	LOC729218	uncharacterized LOC729218	2.66	-0.395
105377394	LOC105377394	uncharacterized LOC105377394	1.315	-0.893
51778	MYOZ2	myozenin 2	4.612	0.253
105379404	LOC105379404	uncharacterized LOC105379404	3.216	0.215
401149	LINC01061	long intergenic non-protein coding RNA 1061	2.408	-0.473
645513	SEPTIN7P14	septin 7 pseudogene 14	1.901	-0.478
8654	PDE5A	phosphodiesterase 5A	2.85	-0.82
100996694	LINC02502	long intergenic non-protein coding RNA 2502	2.644	-0.91
105377399	LOC105377399	uncharacterized LOC105377399	1.01	-0.676
890	CCNA2	cyclin A2	1.891	0.508
84162	BLTP1	bridge-like lipid transfer protein family member 1	3.33	0.286
729338	CETN4P	centrin 4, pseudogene	1.065	-1.19
10252	SPRY1	sprouty RTK signaling antagonist 1	3.087	-0.656
27152	INTU	inturned planar cell polarity protein	2.572	-0.486
22824	HSPA4L	heat shock protein family A (Hsp70) member 4 like	2.767	-0.404
256471	MFSD8	major facilitator superfamily domain containing 8	2.552	-0.247
80167	ABHD18	abhydrolase domain containing 18	3.079	-1.069
55132	LARP1B	La ribonucleoprotein 1B	2.81	0.588
132430	PABPC4L	poly(A) binding protein cytoplasmic 4 like	1.654	-0.524
23657	SLC7A11	solute carrier family 7 member 11	0.959	1.179
1998	ELF2	E74 like ETS transcription factor 2	2.967	0.292
80155	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	3.112	0.364
83452	RAB33B	RAB33B, member RAS oncogene family	2.491	-0.294
60592	SCOC	short coiled-coil protein	3.32	-0.28
100129858	SCOC-AS1	SCOC antisense RNA 1	1.535	0.413
1047	CLGN	calmegin	3.522	0.532
8821	INPP4B	inositol polyphosphate-4-phosphatase type II B	3.25	-0.58
64399	HHIP	hedgehog interacting protein	1.183	-1.673
54726	OTUD4	OTU deubiquitinase 4	3.122	0.331
646603	C4orf51	chromosome 4 open reading frame 51	2.419	-0.605
152485	ZNF827	zinc finger protein 827	2.82	-0.467
11157	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	2.341	0.425
1909	EDNRA	endothelin receptor type A	3.066	-1.093
55751	TMEM184C	transmembrane protein 184C	2.885	0.304
987	LRBA	LPS responsive beige-like anchor protein	3.114	0.274
6189	RPS3A	ribosomal protein S3A	3.767	-0.238
152503	SH3D19	SH3 domain containing 19	3.796	0.359
105377485	LOC105377485	uncharacterized LOC105377485	0.895	0.715
729830	FHIP1A	FHF complex subunit HOOK interacting protein 1A	2.932	0.456
5188	GATB	glutamyl-tRNA amidotransferase subunit B	3.34	0.322
55294	FBXW7	F-box and WD repeat domain containing 7	3.234	0.289
102191832	FBXW7-AS1	FBXW7 antisense RNA 1	1.487	0.369
27236	ARFIP1	ADP ribosylation factor interacting protein 1	2.657	-0.165
285533	RNF175	ring finger protein 175	1.331	0.876
5356	PLRG1	pleiotropic regulator 1	3.001	0.139
105377503	LOC105377503	uncharacterized LOC105377503	1.547	3.496
105377505	LOC105377505	uncharacterized LOC105377505	1.124	-0.827
2982	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1	3.393	0.575
2983	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1	2.937	0.486
56034	PDGFC	platelet derived growth factor C	2.606	-0.428
2743	GLRB	glycine receptor beta	2.628	-0.516
51313	GASK1B	golgi associated kinase 1B	3.58	-0.461
201725	C4orf46	chromosome 4 open reading frame 46	2.304	-0.388
2110	ETFDH	electron transfer flavoprotein dehydrogenase	3.785	0.474
5481	PPID	peptidylprolyl isomerase D	3.121	0.212
55319	TMA16	translation machinery associated 16 homolog	2.221	0.187
201931	TMEM192	transmembrane protein 192	2.889	0.431
1363	CPE	carboxypeptidase E	3.302	-0.406
55601	DDX60	DExD/H-box helicase 60	2.651	-0.444
107986198	LOC107986198	uncharacterized LOC107986198	0.946	-1.847
23022	PALLD	palladin, cytoskeletal associated protein	4.414	0.734
84869	CBR4	carbonyl reductase 4	3.58	0.487
57630	SH3RF1	SH3 domain containing ring finger 1	2.701	-0.45
1182	CLCN3	chloride voltage-gated channel 3	3.486	0.457
54969	HPF1	histone PARylation factor 1	2.636	0.291
8819	SAP30	Sin3A associated protein 30	2.475	0.291
101928383	LOC101928383		0.98	-1.164
11341	SCRG1	stimulator of chondrogenesis 1	1.679	-0.637
101928409	LOC101928409	uncharacterized LOC101928409	2.512	0.516
9464	HAND2	heart and neural crest derivatives expressed 2	3.349	0.376
80817	CEP44	centrosomal protein 44	2.658	-0.234
175	AGA	aspartylglucosaminidase	2.282	0.256
285500	AGA-DT	AGA divergent transcript	1.022	0.413
1635	DCTD	dCMP deaminase	2.964	-0.205
80014	WWC2	WW and C2 domain containing 2	3.121	0.19
53842	CLDN22	claudin 22	1.445	-0.692
3622	ING2	inhibitor of growth family member 2	2.129	0.84
201965	RWDD4	RWD domain containing 4	2.69	0.163
133121	ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6	0.927	-0.919
728175	LINC02363	long intergenic non-protein coding RNA 2363	0.949	0.792
3660	IRF2	interferon regulatory factor 2	2.792	0.344
836	CASP3	caspase 3	2.78	-0.414
201973	PRIMPOL	primase and DNA directed polymerase	2.381	-0.151
291	SLC25A4	solute carrier family 25 member 4	4.801	0.29
83891	SNX25	sorting nexin 25	2.637	0.323
27295	PDLIM3	PDZ and LIM domain 3	3.915	-0.674
8470	SORBS2	sorbin and SH3 domain containing 2	4.683	-0.436
102723906	LOC102723906	uncharacterized LOC102723906	0.862	-0.943
2483	FRG1	FSHD region gene 1	2.645	0.404
389257	LRRC14B	leucine rich repeat containing 14B	3.263	0.712
10016	PDCD6	programmed cell death 6	2.877	-0.133
6550	SLC9A3	solute carrier family 9 member A3	2.405	-0.287
25845	PP7080	uncharacterized LOC25845	2.194	-0.204
100288152	SLC9A3-AS1	SLC9A3 antisense RNA 1	2.057	-0.675
11076	TPPP	tubulin polymerization promoting protein	3.016	0.631
101929898	LOC101929898	uncharacterized LOC101929898	0.884	-0.764
9319	TRIP13	thyroid hormone receptor interactor 13	1.205	0.703
100506688	LINC02982	long intergenic non-protein coding RNA 2982	2.859	-0.828
105374612	LOC105374612		1.532	-0.435
64979	MRPL36	mitochondrial ribosomal protein L36	2.577	0.619
4726	NDUFS6	NADH:ubiquinone oxidoreductase subunit S6	3.456	0.504
23379	ICE1	interactor of little elongation complex ELL subunit 1	3.117	0.38
105374634	LOC105374634	uncharacterized LOC105374634	1.052	-1.459
6715	SRD5A1	steroid 5 alpha-reductase 1	2.064	-0.245
108	ADCY2	adenylate cyclase 2	1.209	-0.876
4552	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	2.943	0.327
100505738	MIR4458HG	MIR4458 host gene	2.474	0.451
22948	CCT5	chaperonin containing TCP1 subunit 5	3.44	0.373
113218502	MIR10397	microRNA 10397	1.297	-0.573
651746	ANKRD33B	ankyrin repeat domain 33B	2.865	-1.414
1501	CTNND2	catenin delta 2	2.787	-0.864
106635684	SNORD141B	small nucleolar RNA, C/D box 141B	2.671	-0.794
90268	OTULIN	OTU deubiquitinase with linear linkage specificity	3.075	-0.335
56172	ANKH	ANKH inorganic pyrophosphate transport regulator	3.69	-0.271
100130744	LOC100130744	uncharacterized LOC100130744	2.457	-0.533
441061	MARCHF11	membrane associated ring-CH-type finger 11	1.638	1.25
107986407	MARCHF11-AS1	MARCHF11 antisense RNA 1	1.607	1.097
90441	ZNF622	zinc finger protein 622	3.266	0.318
101929524	RETREG1-AS1	RETREG1 antisense RNA 1	1.288	-0.999
106635539	SNORA105A	small nucleolar RNA, H/ACA box 105A	1.882	-0.39
105374694	LINC02228	long intergenic non-protein coding RNA 2228	1.458	-0.545
29102	DROSHA	drosha ribonuclease III	3.096	0.247
105374711	LOC105374711	uncharacterized LOC105374711	1.556	0.451
4883	NPR3	natriuretic peptide receptor 3	3.475	-0.674
6897	TARS1	threonyl-tRNA synthetase 1	3.303	0.405
81792	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	1.957	0.693
114899	C1QTNF3	C1q and TNF related 3	1.933	-0.809
5810	RAD1	RAD1 checkpoint DNA exonuclease	2.893	0.282
134218	DNAJC21	DnaJ heat shock protein family (Hsp40) member C21	3.284	0.356
79925	SPEF2	sperm flagellar 2	2.069	-0.52
6507	SLC1A3	solute carrier family 1 member 3	3.667	0.47
646719	NIPBL-DT	NIPBL divergent transcript	2.643	-0.44
25836	NIPBL	NIPBL cohesin loading factor	3.142	0.332
65250	CPLANE1	ciliogenesis and planar polarity effector complex subunit 1	2.768	0.205
100861519	GDNF-AS1	GDNF antisense RNA 1	0.902	-1.236
9180	OSMR	oncostatin M receptor	2.934	0.416
6167	RPL37	ribosomal protein L37	3.782	0.193
84674	CARD6	caspase recruitment domain family member 6	2.464	0.245
105374739	LOC105374739	uncharacterized LOC105374739	1.493	-0.995
729	C6	complement C6	3.62	-0.711
345557	PLCXD3	phosphatidylinositol specific phospholipase C X domain containing 3	3.799	0.565
100874002	OXCT1-AS1	OXCT1 antisense RNA 1	2.22	-0.403
26272	FBXO4	F-box protein 4	2.771	-0.403
7690	ZNF131	zinc finger protein 131	2.554	0.247
10605	PAIP1	poly(A) binding protein interacting protein 1	3.424	0.24
2255	FGF10	fibroblast growth factor 10	1.391	2.943
100506674	MRPS30-DT	MRPS30 divergent transcript	1.671	-0.497
10884	MRPS30	mitochondrial ribosomal protein S30	2.955	0.196
79668	PARP8	poly(ADP-ribose) polymerase family member 8	2.469	-0.311
3673	ITGA2	integrin subunit alpha 2	2.017	0.801
4338	MOCS2	molybdenum cofactor synthesis 2	3.343	0.455
4724	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4	3.306	0.227
54622	ARL15	ADP ribosylation factor like GTPase 15	2.841	-0.462
8988	HSPB3	heat shock protein family B (small) member 3	3.693	0.725
105378967	LOC105378967	replaced by ID 112574	1.072	-0.579
11082	ESM1	endothelial cell specific molecule 1	1.242	-2.74
3003	GZMK	granzyme K	1.291	-1.092
54505	DHX29	DExH-box helicase 29	3.066	0.321
105378973	LOC105378973	uncharacterized LOC105378973	1.193	0.93
23517	MTREX	Mtr4 exosome RNA helicase	3.316	0.094
133396	IL31RA	interleukin 31 receptor A	1.641	-3.591
65056	GPBP1	GC-rich promoter binding protein 1	3.296	0.198
101928505	LOC101928505	uncharacterized LOC101928505	1.493	0.604
5144	PDE4D	phosphodiesterase 4D	3.049	0.483
91942	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	2.653	0.666
285668	C5orf64	chromosome 5 putative open reading frame 64	1.146	1.135
3796	KIF2A	kinesin family member 2A	2.436	0.325
51194	IPO11	importin 11	2.826	0.287
100130733	LRRC70	leucine rich repeat containing 70	1.563	-0.746
285672	SREK1IP1	SREK1 interacting protein 1	2.62	-0.232
10283	CWC27	CWC27 spliceosome associated cyclophilin	2.882	0.331
64105	CENPK	centromere protein K	1.011	0.7
54557	SGTB	small glutamine rich tetratricopeptide repeat co-chaperone beta	2.442	-0.297
57486	NLN	neurolysin	2.693	0.627
4064	CD180	CD180 molecule	1.481	0.938
105379005	LOC105379005		1.193	-1.423
891	CCNB1	cyclin B1	1.811	0.295
92259	MRPS36	mitochondrial ribosomal protein S36	3.184	0.277
1022	CDK7	cyclin dependent kinase 7	2.461	0.264
202243	CCDC125	coiled-coil domain containing 125	2.257	-0.395
