GeneID	Symbol	Description	log10baseMean	log2FC
101927417	FHAD1-AS1	FHAD1 antisense RNA 1	1.364	-3.449
79180	EFHD2	EF-hand domain family member D2	2.741	-0.201
84301	DDI2	DNA damage inducible 1 homolog 2	3.132	0.301
6248	RSC1A1	regulator of solute carriers 1	2.16	0.381
54751	FBLIM1	filamin binding LIM protein 1	3.291	0.693
440567	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like	3.276	0.465
348487	FAM131C	family with sequence similarity 131 member C	1.82	0.972
26099	SZRD1	SUZ RNA binding domain containing 1	3.333	0.238
84809	CROCCP2	CROCC pseudogene 2	2.345	-0.403
9696	CROCC	ciliary rootlet coiled-coil, rootletin	2.685	-0.285
6390	SDHB	succinate dehydrogenase complex iron sulfur subunit B	3.853	0.378
11240	PADI2	peptidyl arginine deiminase 2	1.425	-0.793
23569	PADI4	peptidyl arginine deiminase 4	1.33	-1.965
8659	ALDH4A1	aldehyde dehydrogenase 4 family member A1	3.305	-0.515
126917	IFFO2	intermediate filament family orphan 2	2.443	-0.374
23065	EMC1	ER membrane protein complex subunit 1	3.131	-0.158
246181	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)	1.418	-0.99
22977	AKR7A3	aldo-keto reductase family 7 member A3	1.359	-0.921
8574	AKR7A2	aldo-keto reductase family 7 member A2	2.912	-0.289
832	CAPZB	capping actin protein of muscle Z-line subunit beta	3.667	0.15
100532736	MICOS10-NBL1	MICOS10-NBL1 readthrough	2.853	-0.461
644068	RPS14P3	ribosomal protein S14 pseudogene 3	2.179	-0.74
4681	NBL1	NBL1, DAN family BMP antagonist	2.83	-0.526
5320	PLA2G2A	phospholipase A2 group IIA	2.808	2.407
65018	PINK1	PTEN induced kinase 1	3.772	0.251
102464833	MIR6084	microRNA 6084	1.427	-0.909
100861548	PINK1-AS	PINK1 antisense RNA	3.58	0.216
50809	HP1BP3	heterochromatin protein 1 binding protein 3	3.546	0.159
8672	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	3.34	0.216
84196	USP48	ubiquitin specific peptidase 48	3.212	0.263
401944	LDLRAD2	low density lipoprotein receptor class A domain containing 2	3.293	-0.451
3339	HSPG2	heparan sulfate proteoglycan 2	4.168	-0.363
112268223	CDC42-AS1	CDC42 antisense RNA 1	1.04	-1.278
105376856	LOC105376856	uncharacterized LOC105376856	1.546	-0.885
9923	ZBTB40	zinc finger and BTB domain containing 40	3.062	0.211
713	C1QB	complement C1q B chain	3.081	0.654
2048	EPHB2	EPH receptor B2	1.533	0.675
23028	KDM1A	lysine demethylase 1A	3.111	0.28
100996511	LINC01355	long intergenic non-protein coding RNA 1355	2.121	-0.364
10236	HNRNPR	heterogeneous nuclear ribonucleoprotein R	3.403	0.18
148898	ZNF436-AS1	ZNF436 antisense RNA 1	2.077	-0.478
55616	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	3.059	0.315
3399	ID3	inhibitor of DNA binding 3	3.17	-0.64
6135	RPL11	ribosomal protein L11	4.049	0.385
6924	ELOA	elongin A	3.14	0.296
100506963	ELOA-AS1	ELOA antisense RNA 1	2.271	0.248
57095	PITHD1	PITH domain containing 1	3.029	0.236
2582	GALE	UDP-galactose-4-epimerase	2.063	0.298
107984931	LOC107984931	uncharacterized LOC107984931	2.537	0.413
163702	IFNLR1	interferon lambda receptor 1	2.007	0.403
57185	NIPAL3	NIPA like domain containing 3	3.116	0.352
10250	SRRM1	serine and arginine repetitive matrix 1	3.41	-0.267
25932	CLIC4	chloride intracellular channel 4	4.207	0.398
864	RUNX3	RUNX family transcription factor 3	1.605	-0.754
57035	RSRP1	arginine and serine rich protein 1	3.414	-0.246
55219	MACO1	macoilin 1	2.789	0.266
57190	SELENON	selenoprotein N	3.44	0.26
164091	PAQR7	progestin and adipoQ receptor family member 7	2.073	-0.345
5051	PAFAH2	platelet activating factor acetylhydrolase 2	2.811	-0.414
79927	FAM110D	family with sequence similarity 110 member D	2.092	-0.387
10256	CNKSR1	connector enhancer of kinase suppressor of Ras 1	1.912	-0.684
101928303	ZPLD2P	zona pellucida like domain containing 2, pseudogene	1.716	-0.597
64793	CEP85	centrosomal protein 85	3.379	0.363
83442	SH3BGRL3	SH3 domain binding glutamate rich protein like 3	2.98	0.318
3151	HMGN2	high mobility group nucleosomal binding domain 2	3.041	-1.075
10726	NUDC	nuclear distribution C, dynein complex regulator	3.374	0.257
115572	TENT5B	terminal nucleotidyltransferase 5B	2.907	0.725
84065	TMEM222	transmembrane protein 222	2.818	-0.351
84958	SYTL1	synaptotagmin like 1	1.335	-0.822
8547	FCN3	ficolin 3	2.541	1.639
10163	WASF2	WASP family member 2	3.467	-0.243
27245	AHDC1	AT-hook DNA binding motif containing 1	3.149	-0.231
2537	IFI6	interferon alpha inducible protein 6	2.905	-0.776
199870	FAM76A	family with sequence similarity 76 member A	2.498	-0.199
5511	PPP1R8	protein phosphatase 1 regulatory subunit 8	2.921	0.115
2140	EYA3	EYA transcriptional coactivator and phosphatase 3	2.89	0.196
22826	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	3.257	0.3
1104	RCC1	regulator of chromosome condensation 1	2.202	0.756
115273	RAB42	RAB42, member RAS oncogene family	1.2	0.598
6883	TAF12	TATA-box binding protein associated factor 12	2.685	0.288
2035	EPB41	erythrocyte membrane protein band 4.1	3.11	0.215
399474	TMEM200B	transmembrane protein 200B	2.194	-0.382
6429	SRSF4	serine and arginine rich splicing factor 4	3.338	0.165
10076	PTPRU	protein tyrosine phosphatase receptor type U	2.724	0.532
7805	LAPTM5	lysosomal protein transmembrane 5	2.898	0.546
9672	SDC3	syndecan 3	3.177	-0.335
51538	ZCCHC17	zinc finger CCHC-type containing 17	3.66	-0.329
2170	FABP3	fatty acid binding protein 3	4.838	0.248
